StateSystem,Polity_Full_Name,Polity,ConquerElite,Start_Century,End_Decade,Polity_Age,Councilors,Caste?,Slavery?,Succession Eligibility,Succession_Method,Kingmakers/Electors,Elite_Structure,Religious/Regulatory Societies/Age sets,Economy_Agriculture,Economy_Pastoralism,Economy_Trade,Trade_FoodStuffs_Livestock,Trade_Minerals,Trade_EnslavedPersons,Trade_Rtes,Elite_Ethnicity,Ideology,Stability,Judicial Autonomy,Islamic,Persistence,N_Sources
Aboh,Aboh,Aboh,1,1700,1900,200_250yrs,1,0,1,Within Eligible Clans/Royals,Elected,0,Gatekeeper,No,1,0,1,1,0,1,AtlanticSlave,Igbo,Commerce,Declining,Appeals,0,1,3
Abron,Abron (Gyaman),Abron,0,1600,1890,300yrsPlus,1,1,1,Within Matrilineage,Rotation,1,Regal,No,1,0,1,1,1,0,AtlanticSlave,Abron,Hereditary Monarchy,Declining,Appeals,0,1,6
Adamawa Emirates,Adamawa Emirates,Adamawa Emirates,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Gatekeeper,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,0,11
Adamawa Emirates,Agorma,Agorma,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Bame,Bame,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Banyo,Banyo,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Bassewo,Bassewo,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Be,Be,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Beka,Beka,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Bibemi,Bibemi,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Bindir,Bindir,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Bogo,Bogo,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Boumi,Boumi,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Bourha,Bourha,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Dembo,Dembo,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Demsa,Demsa,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Figuil,Figuil,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Gamsargou,Gamsargou,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Garoua,Garoua,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Descent,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Gawar,Gawar,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Gazawa,Gazawa,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Golombe,Golombe,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Gounna,Gounna,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
Adamawa Emirates,Guebake,Guebake,1,1800,1900,50_99yrs,1,1,1,Within Patrilineage,Elected,1,Regal,No,1,1,1,1,1,1,Regional,Fulani,Islamic Theocracy,Stable,Appeals,1,1,11
