Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Niger,Adar,Agouloum Tudu,,Amattaza residence here,Rossi 59,14.8487,5.7252,
Niger,Adar,Allakai,,major Tuareg implanation mid-1800s,Hamani p. 190,14.4141,5.7426,
Niger,Adar,Anguwal Danya,,major Tuareg implanation mid-1800s,Hamani p. 190,14.3429,5.7002,
Niger,Adar,Ayyawan,,major Tuareg implanation mid-1800s,Hamani p. 190,14.3485,5.8325,
Niger,Adar,Azao,Azzau,Sultan settles here in early 1800s for short period,Rossi 59,14.4299,5.1217,
Niger,Adar,Bagai,,market town,Hamani p. 213,14.851,5.5625,
Niger,Adar,Bagga,,Azna sanctuary?,Hamani 51,14.6722,5.3324,
Niger,Adar,Birnin Adar,Birni today,capital,Hamani p. 108,14.6121,5.6811,
Niger,Adar,Danfan,,,Hamani p. 190,14.8768,5.0762,
Niger,Adar,Dangona,,,Hamani p. 190,14.2728,5.0389,
Niger,Adar,Deulle,,market town,Hamani p. 190,14.5244,5.9872,
Niger,Adar,Folakam,,Azna Sarki here,Rossi 58,13.98905,5.11766,
Niger,Adar,Gidan Bado,,market town,Hamani p. 213,14.4336,5.297,
Niger,Adar,Gilei,,,Hamani p. 190,14.488544,4.991708,
Niger,Adar,Illela,,chief town from mid-1800s on,Last 111,14.4605,5.2437,
Niger,Adar,Jibale,,large village,Hamani 185,14.5013,5.9868,
Niger,Adar,Kalfu Rafi,,market town,Hamani p. 213,14.8596,5.5256,
Niger,Adar,Mambe,,Prince's village,Hamani 200,14.432919,6.066587,
Niger,Adar,Sehia,,,Hamani p. 190,14.25101,4.729875,
Niger,Adar,Tajaye,,,Hamani p. 190,14.2076,5.2713,
Niger,Adar,Tamaske,,market here,Hamani 212,14.8258,5.6529,
Niger,Adar,Tawa,Tahoua,market here,Hamani 212,14.87566,5.26536,
