Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Bauchi,Awe,,town fo Lafia,patton,8.099624758,9.13224478
Nigeria,Bauchi,Bauchi,,Capital,Smaldone p. 55,10.310321,9.843883
Nigeria,Bauchi,Darazo,,subemirate,Lovejoy p. 3,10.999201,10.410618
Nigeria,Bauchi,Fali,,subemirate,Lovejoy p. 3,10.085194,10.517521
Nigeria,Bauchi,Ganjuwa,,subemirate,Lovejoy p. 3,10.859426,10.168795
Nigeria,Bauchi,Jauro,,,patton,10.29265,9.35066
Nigeria,Bauchi,Kanam,,,patton,9.56076,9.95168
Nigeria,Bauchi,Keana,,subchief here,Hogben and Kirk-Greene 548,8.154344603,8.800938322
Nigeria,Bauchi,Keffin Madaki,,walled town built for defense,Hogben and Kirk-Greene 461,10.688558,9.760513
Nigeria,Bauchi,Kirfi,,subemirate,Lovejoy p. 3,10.405558,10.404508
Nigeria,Bauchi,Lafia,,subemirate,Lovejoy p. 3,8.506679808,8.516984364
Nigeria,Bauchi,Lame,,,patton,10.44154,9.23955
Nigeria,Bauchi,Lere,,subemirate,Lovejoy p. 3,9.710518,9.340295
Nigeria,Bauchi,Rauta,,court here in 1870s,Hogben and Kirk-Greene 462,10.52055079,9.568862801
Nigeria,Bauchi,Toro,,subemirate,Lovejoy p. 3,10.058892,9.069096
Nigeria,Bauchi,Wase,,subemirate,Lovejoy p. 3,9.09424,9.95605
Nigeria,Bauchi,Bashar,,emir of Wase moves population here in 1840s,Hogben and Kirk-Greene 558,9.31315,10.15779
Nigeria,Bauchi,Yuli,,,patton,9.69707,10.2735
Nigeria,Bauchi,Zala,,,patton,10.80416,10.0286
Nigeria,Bauchi,Zungur,,subemirate,Lovejoy p. 3,9.975127,9.786902
Nigeria,Bauchi,Inkil,,early capital,Hogben and Kirk-Greene 459,10.3105,9.89343
