Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Boundou,diana,,Tiali province; tributory,,13.543264,-12.864235
Senegal,Boundou,Dalafi,,Tata here,Nsangou Limbepe 2017 39,13.661657,-12.399105
Senegal,Boundou,Komoti,,,Rancon,13.663186,-12.915573
Senegal,Boundou,Goulounga,,Tata here,Nsangou Limbepe 2017 39,13.752039,-12.28637
Senegal,Boundou,Alinguel,,Tata here,Nsangou Limbepe 2017 39,13.8004,-12.17463
Senegal,Boundou,Soutouta,,,,13.803252,-12.716235
Senegal,Boundou,Bani Israel,,Important Diahanke Religious Center,Gomez 66,13.827918,-12.875586
Senegal,Boundou,dieylani,,,,13.91106,-12.6945
Senegal,Boundou,Tallika,,Permanent appointee of Almaami here to keep track of all incoming caravans from Wuli,Gomez 103,13.912106,-12.89794
Senegal,Boundou,Sansading,,Important market center; significant gold passes through here,Gomez 97,13.92818,-12.21483
Senegal,Boundou,Tomboura,,Tata here,Nsangou Limbepe 2017 39,13.966,-12.2177
Senegal,Boundou,Didecoto,dide gassama,Important Diahanke Religious Center,Gomez 66,13.97054,-12.3443
Senegal,Boundou,Samba Yaye,,Tata here,Nsangou Limbepe 2017 39,14.00381594,-12.19214457
Senegal,Boundou,Koudy,,,Rancon,14.034337,-12.763451
Senegal,Boundou,Koussan,,Southern Capital,Gomez 100,14.132152,-12.443011
Senegal,Boundou,Dara,,Tata here to control eastern Faleme,Gomez 76,14.199799,-12.12308
Senegal,Boundou,Ambdallaye,Hamdallaye Bocar Saada,Bokar Saada moves here after Senedoubou,Gomez 133,14.2069,-12.2285
Senegal,Boundou,Gondiourou,,Medieval market city that remains influnetial,Tandjigora 125 ,14.24152,-12.342165
Senegal,Boundou,aynoumadi,at Koutenabe,,,14.262197,-12.554042
Senegal,Boundou,Wouro Kaba,,,Rancon,14.29998,-12.82326
Senegal,Boundou,diamweli pathe,,,Rancon,14.34527,-12.37476
Senegal,Boundou,SENEDEBOU,,Bokar Saada based here in 1850s; but French fort; returns here once Frnech leave in 1862 and rules from here,Gomez 133,14.35816,-12.24816
Senegal,Boundou,Boulebane,at Gourel Bouli,Northern Capital,Gomez 100,14.382186,-12.46591
Senegal,Boundou,Bubuya,,Early settlement and tata,Gomez 56,14.38999,-12.288
Senegal,Boundou,fissa darou,,,Rancon,14.414209,-12.39518
Senegal,Boundou,Darra,Dahratou?,Tata here,Nsangou Limbepe 2017 39,14.60072,-12.303423
Senegal,Boundou,Som Som,placed at Kadiel; was near here,Tata here,Nsangou Limbepe 2017 39,14.662948,-12.374687
Senegal,Boundou,Gabou,,Residence of Almaamy 1890s,Rancon 448,14.718815,-12.411154
