Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Togo,Chakossi,Bidjenga,,administered by Djabou,Tcham p. 170,10.7175,0.270833
Togo,Chakossi,Bogou,,administered by Djabou,Tcham p. 170,10.65,0.183333
Togo,Chakossi,Borgou,,administered by Sangbana,Tcham p. 170,10.763611,0.576944
Togo,Chakossi,Dje-Gabdno,,administered by Sangbana,Tcham p. 170,10.3325,0.744722
Togo,Chakossi,Fare,,administered by Djabou,Tcham p. 170,10.183333,0.4
Togo,Chakossi,Kantindi,,administered by Sangbana,Tcham p. 170,10.903889,0.291944
Togo,Chakossi,Kaoundjouare,,administered by Sangbana,Tcham p. 170,10.943056,0.641389
Togo,Chakossi,Koumongou,,administered by Fomboro,Tcham p. 170,10.186389,0.448056
Togo,Chakossi,Kountoire,,administered by Djabou,Tcham p. 170,10.083333,0.616667
Togo,Chakossi,Loko,,administered by Djabou,Tcham p. 170,10.579167,0.254167
Togo,Chakossi,Mandouri Tambati,,administered by Sangbana,Tcham p. 170,10.85,0.816667
Togo,Chakossi,Mogou,,administered by Sangbana,Tcham p. 170,10.383889,0.643889
Togo,Chakossi,Nali,,administered by Fomboro,Tcham p. 170,10.033333,0.45
Togo,Chakossi,Namoundjoga,,administered by Djabou,Tcham p. 170,10.889248,0.401357
Togo,Chakossi,Nano,,administered by Fomboro,Tcham p. 170,10.703385,0.110246
Togo,Chakossi,Paio,,,Tcham p. 131,10.233333,0.716667
Togo,Chakossi,Pana,,administered by Djabou,Tcham p. 170,10.750278,0.281667
Togo,Chakossi,Pongo,,administered by Sangbana,Tcham p. 170,10.066667,0.683333
Togo,Chakossi,Sadori,,administered by Fomboro,Tcham p. 170,10.333333,0.466667
Togo,Chakossi,Sansanné Mango,,Capital,Tcham p. 131,10.359167,0.470833
Togo,Chakossi,Tchanaga,,,Tcham p. 131,10.504167,0.491389
Togo,Chakossi,Wogou,,administered by Sangbana,Tcham p. 170,10.298188,0.679833
Benin,Chakossi,Datori,,,Tcham p. 168,10.408508,0.782811
