Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Niger,Dosso,Damana,,large village,Streiker 209,13.899,3.0694
Niger,Dosso,Dosso,,Capital,Idrissa and Decalo p. 189,13.049,3.1937
Niger,Dosso,Garankadey,,principale village,Streiker 439,13.28629,3.10196
Niger,Dosso,Goudel,,important village,Streiker 316,13.2379,3.09
Niger,Dosso,Kafi,,large village,Streiker 209,12.876788,3.271398
Niger,Dosso,Kalla,,fortifie village,Rothiot p. 37,13.2174,2.945
Niger,Dosso,Karma,,fortifie village,Rothiot p. 20,13.3856,2.9812
Niger,Dosso,Kayan,,co-capital under Attiku,Streiker 387,13.1649,3.185
Niger,Dosso,Kiota,,fortifie village,Rothiot p. 37,13.275,2.958
Niger,Dosso,Kobi,,large village,Streiker 209,13.6325,3.6837
Niger,Dosso,Koygoru,Koigolo?,principale village,Streiker 439,13.4871,3.0108
Niger,Dosso,Loga,,fortifie village,Rothiot p. 20,13.6132,3.2358
Niger,Dosso,Moko,,co-capital under Attiku,Streiker 387,13.17642,3.27197
Niger,Dosso,Niki,,large village,Streiker 209,13.18628,3.36251
Niger,Dosso,Sargadje,,fortifie village,Rothiot p. 20,13.6106,3.1729
Niger,Dosso,Sokorobe,,fortifie village,Rothiot p. 20,13.5069,3.1754
Niger,Dosso,Tessa,,large village,Streiker 209,12.768243,3.409576
Niger,Dosso,Tombo Keyna,,important village,Streiker 316,13.0808,3.0464
Niger,Dosso,Tombotchire,Tombo Kire?,principale village,Streiker 439,13.057,3.2749
Niger,Dosso,Yendi,,fortifie village,Rothiot p. 37,13.429112,2.994854
