Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Sudan,Funj,,Masallamiyya,,Shaykh here,Holt 84,14.5748,33.3373,
Sudan,Funj,,Arbagi,,political center in Gerri,Crawford 68,14.72578,33.351998,abandoned; 2km SE of Hasiheisa on left bank of Nile
Sudan,Funj,,Rufa'a,,,Holt 2,14.766,33.3634,
Sudan,Funj,,Taiyiba Hamad en Nil,,Larger makret in early 1800s,Crawford 74,14.2,33.4,
Sudan,Funj,,Shayk al-Tom,,Shaykh here,McHugh,13.71667,33.45,Approximate Location
Sudan,Funj,,Abu Haraz,,Regional Center of patronage and Economic activity,McHugh 195,14.483333,33.516667,
Sudan,Funj,,Walad Madani,,Sheikh here,Jackson 73,14.39227,33.52804,
Sudan,Funj,,Sennar,Old Sennar a bit below modern town,Capital,Crawford 77,13.55,33.633333,
Sudan,Funj,,Wad el Abas,,Significant village,Cailliard v2 226,13.766667,33.65,
Sudan,Funj,,Raraba,,,Holt 2,13.266667,33.716667,
Sudan,Funj,,Al-Qarbayn,,provincial capital,McHugh 90,12.1171,33.8145,
Sudan,Funj,,Singa,,Mek here,Jackson 2,13.1483,33.931168,
Sudan,Funj,,Siru,,,Holt 2,12.8993,34.0063,??
Sudan,Funj,,Hashaba?,,,,12.4403,34.2546,
Sudan,Funj,,Disa,,Keili Kingdom here; subject to Sennar,Chataway 254,12.0438,34.308,
Sudan,Funj,,Begawi?,,,,12.3365,34.3493,
Sudan,Funj,,Rusayris,,,Holt 2,11.883333,34.383333,
Sudan,Funj,,Debarki,,Nomadic headquarters here,Crawford 81,13.017199,34.475936,
Sudan,Funj,,Fazughli,,Semi-Independent king here; subject to Sennar,Crawford 82,11.28333,34.76667,
Sudan,Funj,,Beyla,,Chief center in Island of Meroe,Crawford 85,13.683333,34.833333,
Sudan,Funj,,Gedaref,Qadaraf,Chief center in Island of Meroe,Crawford 85,14.035833,35.384444,
Sudan,Funj,,Tumat,,,Holt 2,14.3,35.85,
Sudan,Funj,,Metemma,Placed at Gallabat - right near here,Chief center of Gallabat in Island of Meroe,Crawford 85,12.966667,36.15,
Sudan,Funj,,Umm Talha,Umm Talqa,Religious Center,McHugh,14.0995,32.9596,
Sudan,Funj,,Manaqil,,,Holt 2,14.2459,32.9891,
Sudan,Funj,,Qubbat Khojali,,Shaykh here,Holt 99,14.7359,33.0213,UNSURE
Sudan,Funj,,Abbud,,Regional Center of patronage and Economic activity,McHugh 195,14.231,33.1335,
Sudan,Funj,,Al-Baraqna,,Religious estate owner here,McHugh 197,14.0978,33.1354,
Sudan,Funj,,Al-Kitra,,Religious estate owner here,McHugh 197,14.0721,33.2372,
