Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Sudan,Funj_Centre,,Damer,,Chief Center,Craword 87,17.598981,33.972051,
Sudan,Funj_Centre,,Berber,,Major trading town; provincial capital,OÕFahey and Spaulding  85,18.021578,33.982991,
Sudan,Funj_Centre,,Umm Durman,,Cailliard describes this as the northernmost city still controlled by Sennar on eve of Ottoman conquer,Cailliard v2 200,15.636111,32.437222,
Sudan,Funj_Centre,,Halfayat al-Muluk,,Capital of Abdallab province,OÕFahey and Spaulding  102,15.7024,32.5503,
Sudan,Funj_Centre,,Gerri,,Caravan Depot; political center of norhtenr Sennar,Crawford 65,16.234167,32.621111,
Sudan,Funj_Centre,,Khasm al-Bahr,,Shaykh here,Holt 18,15.628889,32.625833,
Sudan,Funj_Centre,,Ruyan,El Raywan?,,Holt 2,16.1293,32.6578,
Sudan,Funj_Centre,,Soba,,King here subject to Sennar,Holt 2,15.516667,32.683333,
Sudan,Funj_Centre,,Eilafun,,Famous Sheikh residence; large market town,Crawford 72,15.4336,32.7186,
Sudan,Funj_Centre,,Jadid,,,Holt 2,15.3396,32.7804,
Sudan,Funj_Centre,,Hajar al-Asal,,,Holt 2,16.405,32.784722,
Sudan,Funj_Centre,,Kuntranj,,Important Muslim Settlement,McHugh 112,15.2742,32.966,
Sudan,Funj_Centre,,Bashaqira,,large market town,McHugh 183,15.2,33.066667,
Sudan,Funj_Centre,,Kamlin,,Important Muslim Settlement,McHugh 112,15.077778,33.177778,
Sudan,Funj_Centre,,Abu Ushar,,Large market town,McHugh 184,14.9213,33.2073,
Sudan,Funj_Centre,,Hilaliyya,,,Holt 2,14.9398,33.234,
Sudan,Funj_Centre,,Shendi,,Large market; provincial capital,Crawford 58,16.6915,33.4341,
Sudan,Funj_Centre,,Kabushiyya,,,Holt 2,16.8862,33.6917,
Sudan,Funj_Centre,,Meroe,,Caravan Depot,Crawford 59,16.937722,33.74865,
Sudan,Funj_Centre,,Jebel Geili,placed at mountain - was in this vicinity,Chief center in Island of Meroe,Crawford 85,15.5,33.78333,
Sudan,Funj_Centre,,Abu Deleiq,Batahin,Chief center in Island of Meroe,Crawford 85,15.901034,33.821448,
