Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Sudan,Fur_Ouest,Murnei,,,,12.95,22.866667,
Sudan,Fur_Ouest,Muhaggir,,Listed on map as major site of Keira dynasty,Theobald 8,13.25,23.03333,
Sudan,Fur_Ouest,Tinniat,,"Governor of Western provinces here, key town on Waddai-Fur Rout",Nachtigal 246,13.483333,23.116667,
Sudan,Fur_Ouest,Garsila,,market here,OÕFahey 1980 133,12.366667,23.133333,
Sudan,Fur_Ouest,Gili,Gulli?,Listed on map as major site of Keira dynasty,Theobald 8,13.066667,23.2,
Sudan,Fur_Ouest,Bara,,northern governor here,OÕFahey 1980 82,11.3824,23.218123,
Sudan,Fur_Ouest,Umm Haraz,in Dar Kobara,market for caravan trade,OÕFahey 1980 133,11.987384,23.231786,
Sudan,Fur_Ouest,Filli,,Listed on map as major site of Keira dynasty,Theobald 8,13.316667,23.3,
Sudan,Fur_Ouest,Birkat Saira,,???,Al-Tunisi,13.566667,23.45,
Sudan,Fur_Ouest,Zalingei,,Title Holder here,Al-Tunisi,12.909179,23.470578,
Sudan,Fur_Ouest,Kurro,,Listed on map as major site of Keira dynasty,Theobald 8,13.18333,23.48333,
Sudan,Fur_Ouest,Buldanga,,Listed on map as major site of Keira dynasty,Theobald 8,13.480889,23.710279,
