Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Ghana,Gonja,Yeji,,,Bramiah 151,8.225422,-0.648888,
Ghana,Gonja,Kapuasi,Kapua,,Bramiah 151,8.3,-0.85,
Ghana,Gonja,Tarapa,,Home of royal family with a gate skin,Bramiah p. 91,8.368989,-0.975878,
Ghana,Gonja,Siriminchu,,Home of royal family with a gate skin,Bramiah p. 91,8.4,-0.85,
Ghana,Gonja,Sugu Kolo,Gbateto,,Bramiah 151,8.460334,-1.0545,
Ghana,Gonja,Kafaba,,important trade center,Bramiah 151,8.467391,-0.751169,
Ghana,Gonja,Brumase,Brumassi,,Bramiah 151,8.468347,-1.01824,
Ghana,Gonja,Kpembe,,Divisional capital,Goody 189,8.531011,-0.495263,
Ghana,Gonja,Wasipe,Tinga,,Bramiah 151,8.540243,-2.206552,
Ghana,Gonja,Salaga,,another important commercial center that developed a little later than Biupe ,Owusu-Anash 117,8.550827,-0.518749,
Ghana,Gonja,Kajau,,Home of royal family with a gate skin,Bramiah p. 91,8.566667,-0.916667,
Ghana,Gonja,Janton,,Divisional capital,Goody 189,8.583333,-0.516667,
Ghana,Gonja,Tuluwe,,important trade center/Divisional capital,Bramiah 151,8.717551,-0.93165,
Ghana,Gonja,Kanakulai,,home of royal family with a gate skin,Bramiah p. 94,8.736581,-0.421757,
Ghana,Gonja,Deber,Mpaha,Divisional capital,Goody 189,8.750301,-1.107828,
Ghana,Gonja,Buipe,,most important commercial center in the past,Owusu-Anash 117,8.774178,-1.550527,
Ghana,Gonja,Gbuipe,,important trade center/divisional capital,Goody 183,8.80524,-1.56211,
Ghana,Gonja,Chaama,Chama?,medicine shrine,Goody 201,8.85,-0.93333,VERIFY WITH MAP
Ghana,Gonja,Butie,,,Bramiah 151,8.854844,-1.245894,
Ghana,Gonja,Sakpa,,Subdivision of Yabum,Bramiah p. 91,8.870963,-2.348327,
Ghana,Gonja,Seripe,,,Bramiah 151,8.92925,-2.396655,
Ghana,Gonja,Mangpa,,Divisional capital,Goody 189,8.95,-1.3,
Ghana,Gonja,Bole,,important trade center/Divisional capital,Bramiah 151,9.028353,-2.490327999,
Ghana,Gonja,Damongo,,Divisional capital,Goody 189,9.083371,-1.818188,
Ghana,Gonja,Senyon,,Divisional capital,Goody 189,9.085066,-2.343167,
Ghana,Gonja,Busunu,,,Bramiah 151,9.15,-1.5,
Ghana,Gonja,Mankuma,,royal burial ground,Goody 197,9.1751,-2.48454,
Ghana,Gonja,Panshiaw,,Divisional capital,Goody 189,9.17253,-0.69484,VERIFY WITH MAP
Ghana,Gonja,Kusawagu,,Divisional capital,Goody 189,9.196609,-1.043479,
Ghana,Gonja,Larabanga,,important shrine here,Goody 197,9.217703,-1.860016999,
Ghana,Gonja,Nyanga,Nyango,Capital,Bramiah 151,9.249397,-2.374419,
Ghana,Gonja,Tari,,Subdivision of Yabum,Bramiah p. 91,9.341135,-2.518068,
Ghana,Gonja,Yarizori,,,Bramiah 151,9.439353,-1.623504,
Ghana,Gonja,Jang,,Divisional capital,Goody 189,9.454246,-2.195863,
Ghana,Gonja,Kong,,,Bramiah 151,9.513591,-2.292885,
Ghana,Gonja,Daboya,,important trade center/Divisional capital,Bramiah 151,9.531096,-1.378949999,
Ghana,Gonja,Kuli,,Divisional capital,Goody 189,9.66579,-1.1886,VERIFY WITH MAP
