Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Cote d'Ivoire,Idenie,Abengourou,,prince here; capital of Ndenye micro-state,Sarkodie-Mensah 44,6.72972,-3.49639,
Cote d'Ivoire,Idenie,Adahou,,prince here,Perrot 212,6.71879,-3.51246,
Cote d'Ivoire,Idenie,Afewa,,prince here,Perrot 212,6.219537198,-3.309626212,
Cote d'Ivoire,Idenie,Amelekia,,prince here,Perrot 212,6.83036,-3.57522,
Cote d'Ivoire,Idenie,Bokakokore,,prince here,Perrot 212,6.45809,-3.38934,
Cote d'Ivoire,Idenie,Ebilassekro,,prince here,Perrot 212,6.37917,-3.34722,
Cote d'Ivoire,Idenie,Elenso,,prince here,Perrot 212,6.99426,-3.72144,
Cote d'Ivoire,Idenie,Niabley,,prince here,Perrot 212,6.66129,-3.26984,
Cote d'Ivoire,Idenie,Nzebenou,,prince here,Perrot 212,6.82131,-3.56757,
Cote d'Ivoire,Idenie,Padieni,,prince here,Perrot 212,6.97847,-3.42304,
Cote d'Ivoire,Idenie,Sanahuli-Zaranou,,royal capital,Perrot 180,6.4265,-3.36171,
Cote d'Ivoire,Idenie,Sankadiokro,,prince here,Perrot 212,6.86165,-3.48564,
Cote d'Ivoire,Idenie,Yakesse,,capital,Perrot,6.9557,-3.4126,
Cote d'Ivoire,Idenie,Zinzenou,,prince here,Perrot 212,6.88139,-3.45806,
Cote d'Ivoire,Idenie,Bettie,,micro-state here,Perrot 280,6.0756,-3.40846,
Cote d'Ivoire,Idenie,Kodjina (Bebou),,Alangwa village,Perrot 280,6.3617,-3.41275,
Cote d'Ivoire,Idenie,Ehiakro,,Denkirya village,Perrot 280,6.56529,-3.65817,approximate
Cote d'Ivoire,Idenie,Asaleasue,,Abrade Village,Perrot 280,6.97639,-3.38194,approximate
