Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Cote d'Ivoire,Kabadougou,Odienne,,capital,O'Sillivan p. 27,9.507853485,-7.5662572,
Cote d'Ivoire,Kabadougou,Sokoroba,,trading centers,O'Sullivan p. 83,9.575768211,-7.000654619,
Cote d'Ivoire,Kabadougou,Ferefougoula,,trading centers,O'Sullivan p. 83,9.284512489,-7.731629741,
Cote d'Ivoire,Kabadougou,Tieme,,trading center; well known Islamic cetner,O'Sullivan p. 83,9.542435306,-7.317452529,
Cote d'Ivoire,Kabadougou,Samatiguila,,trading center; well known Islamic cetner,O'Sullivan p. 83,9.822795833,-7.562468671,
Cote d'Ivoire,Kabadougou,Tienko,,capital of Bodoguou kafu,O'Sullivan 27,10.22472,-7.4825,
Cote d'Ivoire,Kabadougou,Kanyaso,,capital of Toron Kafu,O'Sullivan 27,9.81471,-7.5125,
Cote d'Ivoire,Kabadougou,Negelea,,loyal village,O'Sullivan 138,9.40168,-7.73743,
Cote d'Ivoire,Kabadougou,Kodougou,,loyal village,O'Sullivan 138,9.42539,-7.68752,
Cote d'Ivoire,Kabadougou,Kere,,defensive village,O'Sullivan 138,9.78352,-7.71028,
Cote d'Ivoire,Kabadougou,Koro,,southern limit of authority; ancietn kola nut market,O'Sullivan p. 82,9.4173,-7.14401,
Cote d'Ivoire,Kabadougou,Lengeso,,defensive village,O'Sullivan p. 157,9.20551,-7.62082,
Cote d'Ivoire,Kabadougou,Kourondougou,,defensive village,O'Sullivan p. 157,9.32073,-7.62847,
Cote d'Ivoire,Kabadougou,Numugondougou,,defensive village,O'Sullivan p. 157,9.25982,-7.43621,
Cote d'Ivoire,Kabadougou,Sameso,,defensive village,O'Sullivan p. 157,9.50935,-7.82728,
Cote d'Ivoire,Kabadougou,Sananferedougou,,defensive village,O'Sullivan p. 157,10.04874,-7.53261,
