Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Katsina,Bakori,,ribat,Usman 140,11.555591,7.424188
Nigeria,Katsina,Birin-Katsina,,major settlement,Usman p. 248,12.990823,7.601769
Nigeria,Katsina,Birnin Gozaki,,emirs representative here,Usman 140,11.45428289,7.639523711
Nigeria,Katsina,Caranci,,"Qadi here, major town",Usman 186,12.869355,7.796801
Nigeria,Katsina,Daliaje,,major settlement,Usman p. 250,12.699103,7.894049
Nigeria,Katsina,Dan Ali,,major settlement,Usman p. 250,12.134317,7.526542
Nigeria,Katsina,Dan Pouwa,,Sarkin her,Usman 184,11.980608,7.314033
Nigeria,Katsina,Dan Tutture,,major settlement,Usman p. 250,11.737329,7.796955
Nigeria,Katsina,Dayi,,emirs representative here,Usman 140,11.969028,7.691416
Nigeria,Katsina,Duru,,major settlement,Usman p. 250,12.875503,7.91177
Nigeria,Katsina,Faskari,,major settlement,Usman p. 250,11.721079,7.029915
Nigeria,Katsina,Funtua,,major settlement,Johnston Map 3,11.523505,7.311744
Nigeria,Katsina,Gyaza,,major settlement,Usman p. 250,12.404339,7.72363
Nigeria,Katsina,Ingawa,,emirs representative here,Usman 140,12.641378,8.051623
Nigeria,Katsina,Kaita,,major settlement,Usman p. 250,13.083461,7.740916
Nigeria,Katsina,Kankara,,major settlement,Usman p. 250,11.931137,7.411149
Nigeria,Katsina,Kankiya,,strategic town,Usman 177,12.546366,7.822544
Nigeria,Katsina,Karafi,,large town,Usman 82,12.485722,7.588429
Nigeria,Katsina,Karofi,,emirs representative here,Usman 140,11.76428795,7.998052272
Nigeria,Katsina,Katin Dangi,,emirs representative here,Usman 140,12.605046,7.821309
Nigeria,Katsina,Katsina,,"Capital, walled town",,12.990823,7.601769
Nigeria,Katsina,Koda,,major settlement,Usman p. 250,12.635705,7.736411
Nigeria,Katsina,Kurfi,,Subchief here,Usman 184,12.66663453,7.485260513
Nigeria,Katsina,Kurkunan,,major settlement,Usman p. 250,12.093299,7.772168
Nigeria,Katsina,Kusado,,"Qadi here, major town",Usman 186,12.465602,7.978478
Nigeria,Katsina,Maduru,,Qadi appointed here,Usman 192,13.018353,7.824472
Nigeria,Katsina,Mashi,,fortified town,Usman 192,11.897156,7.269137
Nigeria,Katsina,Maska,,emirs representative here,Usman 140,11.32393,7.32779
Nigeria,Katsina,Matanfada,,major market,Usman 194,12.57663226,8.243395257
Nigeria,Katsina,Matsai,,major settlement,Usman p. 250,13.174338,7.678833
Nigeria,Katsina,Musawa,,new twon with subchief,Usman 178,12.129489,7.670225
Nigeria,Katsina,Radda,,emirs representative here,Usman 140,12.477004,7.650021
Nigeria,Katsina,Rimi,,ribat,Usman 141,12.850298,7.709745
Nigeria,Katsina,Rubu,,major settlement,Usman p. 250,12.600858,7.163741
Nigeria,Katsina,Sabongari,,base for Shehu,Usman p. 250,12.621248,7.554005
Nigeria,Katsina,Tadama,,important market,Usman 212,11.440145,7.441961
Nigeria,Katsina,Tsaskiya,,fortified town; market,Usman 154,12.54678321,7.348444604
Nigeria,Katsina,Tunas,,major market,Usman 194,12.65952348,8.151211738
Nigeria,Katsina,Ummadan,,fortified town,Usman 154,12.589552,7.329514
Nigeria,Katsina,Yandaki,,ribat,Usman 141,13.05444142,7.701559944
Nigeria,Katsina,Yantumaki,,subchief here,Usman 141,12.198462,7.478128
Nigeria,Katsina,Zakka,,Malam here,Usman 141,12.650403,7.350959
