Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Mali,Kenedougou,Folona,Sinematiali,0,within Folona Kafo under Bademba,Diomansi p. 85,9.5841,-5.38476,
Mali,Kenedougou,Fourou,Katiali,,,,9.82268,-5.93381,
Mali,Kenedougou,Folona,Bangu,Bogou?,within Folona Kafo,Diomansi p. 84,10.223,-5.8657,
Mali,Kenedougou,Folona,Ngoko,,garrison,Person Map,10.4,-6.05,
Bukina Faso,Kenedougou,Tengrela,Ngoko,0,within Tengrela Kafo,Diomansi p. 85,10.4,-6.05,
Bukina Faso,Kenedougou,Tengrela,Tegrela,0,Kafo Head under Bademba,Diomansi p. 85,10.451542,-6.110383,
Mali,Kenedougou,Fourou,Tiongui,Tiongoli?,witin Fourou Kafo under Bademba,Diomansi p. 85,10.57073,-6.29196,
Mali,Kenedougou,,Lumana,,,,10.58333,-5.35,
Bukina Faso,Kenedougou,Sindou,Sindou,Tourcas,Kafo Head under Bademba,Diomansi p. 85,10.666667,-5.166667,
Mali,Kenedougou,Fourou,Fourou,0,0,Levall p. 283,10.75,-6.133333,
Bukina Faso,Kenedougou,Sindou,Kankalaba,0,within Sindou Kafo,Diomansi p. 85,10.75,-5.28333,
Mali,Kenedougou,,Lanfiera,,garrison,Person Map,10.81667,-5.71667,
Mali,Kenedougou,,Nagalasso,,,,10.88333,-6.31667,
Mali,Kenedougou,,Banankoro,,Traoré family member appointed here,Traoré 17,10.93333,-5.6,
Mali,Kenedougou,Kourouma,Kourouma,0,Kafo head,Diomansi p. 84,11.048064,-6.073596,
Mali,Kenedougou,Nielle,Nielle,0,Kafo Head under Bademba,Diomansi p. 85,11.076286,-5.01076,
Mali,Kenedougou,Kourouma,Ngoloko,0,within Kourouma Kafo,Diomansi p. 84,11.07924,-6.13482,
Mali,Kenedougou,Siene,Lafiara,0,within Siene kafo,Diomansi p. 83,11.079243,-6.13482,
Mali,Kenedougou,,Ntjikouna,,tata here,Diomansi p. 89,11.12469,-6.23834,
