Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cote d'Ivoire,Kong,Bougou,,royals here,Green 343,8.95993,-4.412675
Cote d'Ivoire,Kong,Fia,,royals here,Green 343,8.878679,-4.136099
Cote d'Ivoire,Kong,Kapi,,Sekou's son here,Green p. 310,9.594179,-4.642809
Cote d'Ivoire,Kong,Kolon,,royal village,Green p. 257,9.043607,-4.214666
Cote d'Ivoire,Kong,Komou,,royals here,Green 343,8.874544,-4.120359
Cote d'Ivoire,Kong,Kong,,commercail capital,,9.149434,-4.609823
Cote d'Ivoire,Kong,Koniene,Konyene,Sekou's son here,Green p. 308,9.039805,-4.149772
Cote d'Ivoire,Kong,Koubala,,Sekou's son here,Green p. 308,9.415798,-4.542784
Cote d'Ivoire,Kong,Koundou,,Sekou's son here,Green p. 308,9.347968,-4.66983
Cote d'Ivoire,Kong,Lemonon,,Sekou's son here,Green p. 308,9.276416,-4.607052
Cote d'Ivoire,Kong,Limono,,Sekou's son and successor here,Tauxier 54,9.27642,-4.60705
Cote d'Ivoire,Kong,Linguekoro,,Sekou's son here,Green p. 308,9.428231,-4.627525
Cote d'Ivoire,Kong,Lorhonzo,,Sekou's son here,Green p. 308,9.292315,-4.62938
Cote d'Ivoire,Kong,Nassian,,Sekou's son here,Green p. 308,9.397552,-4.479931
Cote d'Ivoire,Kong,Niangbala,,royal village,Green p. 257,9.314789,-4.679184
Cote d'Ivoire,Kong,Pongala,,Sekou's son here,Green p. 308,9.196888,-4.474301
Cote d'Ivoire,Kong,Tindala,,royal family member here,Green 284,9.550813,-4.744171
Cote d'Ivoire,Kong,Toussienso,,Sekou's son here,Green p. 308,9.337772,-4.578687
Cote d'Ivoire,Kong,Tyemenin,,Sekou's son here,Green p. 308,9.288003,-4.476447
Cote d'Ivoire,Kong,Kelekele,,king's slaves here,Green 259,9.07277,-4.52413
Cote d'Ivoire,Kong,Korowita,near Kong,king's slaves here,Green 259,9.05554,-4.40348
Cote d'Ivoire,Kong,Sokolo,,Sekou's son here,Green p. 308,8.94334,-4.24796
Cote d'Ivoire,Kong,Bono,near Fasselemon,Sekou's son here,Green p. 310,9.27862,-4.52904
Cote d'Ivoire,Kong,Niafounambo,,Sekou's son here,Green p. 310,9.504688,-4.605476
