Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
DRC,Kuba,,Kapoong,,major market at end of 1800s,Vansina 188,-5.218013,21.427341,
DRC,Kuba,,Kabao,,Main market here before moving to Ibaanc in late 1800s,Vansina 354,-5.116667,21.502627,
DRC,Kuba,,Ibaanc,Ibanshe,Large market here,Vansina 72 ,-4.961977,21.482039,
DRC,Kuba,,Ipaang,,major market at end of 1800s,Vansina 188,-4.866667,21.2,
DRC,Kuba,,Mboong,Bongo?,major market at end of 1800s,Vansina 188,-4.708307,21.325726,
DRC,Kuba,,Kosh,Koshi,"Muyum, or highest religion figure, resides here",Vansina 55,-4.566667,21.416667,
DRC,Kuba,,Nsheng,Mushenge,capital,,-4.529854,21.33321,
DRC,Kuba,,Iyek,Yeke,major market at end of 1800s,Vansina 188,-4.516667,21.25,
DRC,Kuba,,Misumba,,Main Ngongo Chiefdom here; subchief placed here,Vansina 70,-4.266259,21.937626,
DRC,Kuba,,Mbabaang,Bambangi,major market at end of 1800s,Vansina 188,-4.237694,20.573325,
DRC,Kuba,,Kin micweng,,major market at end of 1800s,Vansina 188,-4.133333,21.366667,Placed at Shongonigneri - approximate location based on Vansina map/rivers
DRC,Kuba,,Kel ankil,Kilendjale,major market at end of 1800s,Vansina 188,-3.983333,21.8,
