Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mozambique,Manica,,Masekesa,Macequece; See Bhila map on location - not at current spot; placed at approximate spot shown by Bhila,Important gold trading post,Bhila 1982,-18.88182,32.86927
Zimbabwe,Manica,,Umtali,,ward head of Murahwa ward here,Bhila 1982,-18.977163,32.665707
Zimbabwe,Manica,,Penhalonga,,,Bhila 1982,-18.882412,32.671999
Zimbabwe,Manica,,Bingaguru,approximate location,Royal court in 1870s-1880s,Bhila 1976 35,-18.784327,32.609941
Mozambique,Manica,,Aruangwa,approximate location,Important gold trading post,,-18.510645,33.163255
Zimbabwe,Manica,,Zindi,,ward given to son of Nyarumwe in early 1800s,Bhila 1982 21,-18.379069,32.932676
Zimbabwe,Manica,,Mandeya,,ward given to son of Nyarumwe in early 1800s,Bhila 1982 21,-18.460273,32.952167
Zimbabwe,Manica,,Sakarombe,approximate location,ward given to son of Nyarumwe in early 1800s,Bhila 1982 21,-18.352733,32.669597
Zimbabwe,Manica,,Doe,NW Manyika; Dohwe?,Capital of Nyangombe (1807-13),Bhila 1982 154,-18.722929,32.305527
Zimbabwe,Manica,,Dambarare,,Important gold trading post,,-18.863901,32.537154
Zimbabwe,Manica,,Nyaruhwe,approximate location,traditional capital of Nyamabvambire founder,Storry 19,-18.709935,32.664198
Zimbabwe,Manica,,Nyamhuka,near Nyanga,Ward head here,Storry 20,-18.225968,32.735247
Zimbabwe,Manica,,Pondwe,Pungwe?,Ward head here,Storry 20,-18.376672,32.918385
Zimbabwe,Manica,,Mparutsa,"below Mtarazi falls, north of Samanga; placement approximate",Ward head here,Storry 21,-18.507419,32.803366
Zimbabwe,Manica,,Tsonzo,,Ward head here,Storry 21,-18.687008,32.594558
Zimbabwe,Manica,,Bonda,approximate location,Ward head here,Storry 21,-18.443795,32.590016
Zimbabwe,Manica,,Mutare,,important gold mine,Mtetwa 174,-18.96417,32.66278
Mozambique,Manica,,Luvue (Revue),,important gold mine,Mtetwa 174,-18.93694,33.03611
