Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cote d'Ivoire,Moronou,Abongoua,,main town of Asie group,Ekanza p. 28,6.6527,-4.101785
Cote d'Ivoire,Moronou,Adibrobo,,early implantation,Ebanza p. 17,6.5128,-4.608653
Cote d'Ivoire,Moronou,Afri,Aferi,main town of Asie group,Ekanza p. 28,6.902826,-4.083741
Cote d'Ivoire,Moronou,Agoua,,capital of Sahie,Kouame & Serge 25,6.495649,-4.477377
Cote d'Ivoire,Moronou,Ande,,,Ekanza p. 392,6.781764,-4.085171
Cote d'Ivoire,Moronou,Aquaoussou,Akpaoussou ou Kotobi,main town of Asie group,Ekanza p. 28,6.90916,-4.055817
Cote d'Ivoire,Moronou,Arrah,,main town of Ahua ,Ekanza p. 28,6.673419,-3.969383
Cote d'Ivoire,Moronou,Bongouanou,,subdivision here ,Ekanza p. 392,6.651749,-4.204061
Cote d'Ivoire,Moronou,Darosso,Dalosso,main town of Asie group,Ekanza p. 28,6.821696,-3.936626
Cote d'Ivoire,Moronou,Kabran Bourouattakrou,Brou Attakrou,main town of Asie group,Ekanza p. 28,6.677397,-3.803741
Cote d'Ivoire,Moronou,Mbatto,,,,6.471971,-4.357809
Cote d'Ivoire,Moronou,Tana Kakoukro,,residence chef alangawa,Ekanza 35,7.1,-3.916667
Cote d'Ivoire,Moronou,Nzanzansu,,Sahoua village,Kouame & Serge 22,7.37356,-3.87782
Cote d'Ivoire,Moronou,Assie Kokore,,importnat lineage here,Kouame & Serge 22,6.82172,-4.37689
Cote d'Ivoire,Moronou,Nzuekokore,,founding lineage here,Ekanza 2016 27,6.56831,-4.28911
Cote d'Ivoire,Moronou,Elubo,near Nguessanrko,Founder's village,Ekanza 2016 33,6.63468,-4.30349
Cote d'Ivoire,Moronou,Assahara,,early implantation of Sahoua lineage,Ekanza 2016 30,6.66643,-4.49775
Cote d'Ivoire,Moronou,Kouakro,,early implantation of Sahoua lineage,Ekanza 2016 30,6.65142,-4.43821
Cote d'Ivoire,Moronou,Adouakouakro,,early implantation of Sahoua lineage,Ekanza 2016 30,6.60644,-4.42868
Cote d'Ivoire,Moronou,Benene,,important Sahie villages,Ekanza 2016 108,6.95031,-4.0514
Cote d'Ivoire,Moronou,Niandian,,wealthy lineage here late 1800s,Ekanza 2016 112,6.60474,-4.29964
