Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Zimbabawe,Ndebele,,Bulawayo,New Bulawayo; resettle here in 1881,Capital post 1880,Clarke and Nyathi 41,-20.147107,28.584583,
Zimbabawe,Ndebele,,Dibinhlangu,approximate location,Major settlement,Cobbing,-20.326695,28.574952,
Zimbabawe,Ndebele,,Ihlati,,Amabutho based here; founded 1890,Cobbing 617,-19.24224414,29.535482,approximate based on map
Zimbabawe,Ndebele,,Imbizo,,Amabutho based here; founded 1871,Cobbing 616,-20.07079,28.74815,
Zimbabawe,Ndebele,,Induba,approximate location,Amabutho based here; founded 1860s,Cobbing 616,-19.83087,28.77452,
Zimbabawe,Ndebele,,Inqobo,,Amabutho based here; founded 1883,Cobbing 617,-19.58251413,28.94336792,approximate based on map
Zimbabawe,Ndebele,,Insizwa,placed at Rosmalind; was right near here,Amabutho based here; 1891,Cobbing 623,-19.366667,29.566667,
Zimbabawe,Ndebele,,Intemba,below Mambo hills,Amabutho based here; late 1840s,Cobbing 623,-19.501238,29.021134,
Zimbabawe,Ndebele,,Inyati,Inyathi,Amabutho based here; 1850; royal capital in 1850s; important northern settlement,Cobbing 623,-19.67338,28.8474,
Zimbabawe,Ndebele,,Isiziba,,Amabutho based here; founded 1887,Cobbing 617,-19.66667,29.36667,approximate based on map
Zimbabawe,Ndebele,,Izinkondo,approximate location,Amabutho based here; late 1840s,Cobbing 623,-20.07205,28.84989,
Zimbabawe,Ndebele,,Mahlokohloko,approximate location,"Amabutho based here; founded 1850s, is capital during this time",Cobbing 617,-19.758493,28.501975,
Zimbabawe,Ndebele,,Mbambanjeni,placed at current Shangani; near here,Amabutho based here; 1840s,Cobbing 623,-19.783333,29.366667,
Zimbabawe,Ndebele,,Mbuyaswe,,Amabutho based here,Cobbing 616,-20.00134,28.473358,
Zimbabawe,Ndebele,,Mhlahlanhlela,approximate location,Amabutho based here; founded 1863; Mzilikazi's last capital,Cobbing 617,-20.21086,28.51057,
Zimbabawe,Ndebele,,Mvutshu,,Lobengula's residential visit,Bhebe 90,-20.051944,28.588611,
Zimbabawe,Ndebele,,Mzinyathini,,Second most important Ndebele Town,Clarke and Nyathi 41,-20.402161,28.893404,
Zimbabawe,Ndebele,,Nyamanhlovu,,Amabutho here in 1840s,Cobbin 623,-19.8595,28.27038,
Zimbabawe,Ndebele,,Nzwanansi,approximate location,Major settlement,Cobbing,-19.82538,29.07346,
Zimbabawe,Ndebele,,Old Bulawayo,,Capital 1871-1880,,-20.30239,28.62645,
Zimbabawe,Ndebele,,Taba zi ka Mambo,,Major Mwari Shrine,Bhebe 1977 27,-19.526651,29.031698,
Zimbabawe,Ndebele,,Umcijo,,Amabutho based here; founded 1890,Cobbing 617,-19.21588519,29.47469241,approximate based on map
Zimbabawe,Ndebele,,Insinda,,Amabutho based here; 1840s,Cobbing 623,-19.95351888,29.16024032,approximate based on map
Zimbabawe,Ndebele,,Ndiana,,Amabutho based here; 1840s,Cobbing 623,-20.15751599,29.2800675,approximate based on map
Zimbabawe,Ndebele,,Dhlodhlo,,Amabutho based here; 1840s,Cobbing 623,-19.95,29.33333,
Zimbabawe,Ndebele,,Godhlwayo,,Amabutho based here; 1840s,Cobbing 623,-20.37868218,29.0454559,approximate based on map
Zimbabawe,Ndebele,,Insinga,,Amabutho based here; 1840s,Cobbing 623,-20.20710813,29.1105152,approximate based on map
Zimbabawe,Ndebele,,Matshetshe,,Amabutho based here; 1840s,Cobbing 623,-20.36438,28.97184,approximate based on map
Zimbabawe,Ndebele,,Amabugudwan,,Amabutho based here; 1840s,Cobbing 623,-20.30528,28.27883,approximate based on map
