Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Sierra Leone?,Samory_Ouest,Madina,,major settlemetn,person carte 20,9.093852,-12.048317
Cote d'Ivoire,Samory_Ouest,Karema,,important center 1880s,person carte 10,9.172104,-12.012234
Cote d'Ivoire,Samory_Ouest,Karasa,,important center 1880s,person carte 10,9.526583,-11.836958
Sierra Leone?,Samory_Ouest,Musaia,,major settlemetn,person carte 20,9.759156,-11.571323
Sierra Leone?,Samory_Ouest,Falaba,,Control establisehd 1884,Legassick p. 101,9.855344,-11.32151
Guinea,Samory_Ouest,Heeremankono,,garrison here 1880s,person carte 23,9.88836,-11.05783
Guinea,Samory_Ouest,Koulouya,,market site,Camara p. 38,10.083333,-10.95
Guinea,Samory_Ouest,Sinkoungna,,market site,Camara p. 37,9.912954,-10.798239
Guinea,Samory_Ouest,Faranah,,center of Islamic schooling,Osborn p. 97,10.033333,-10.733333
Guinea,Samory_Ouest,Kabaya,,annexed ~1800,Camara p. 15,9.723639,-10.710917
Guinea,Samory_Ouest,Arfaila,,market site,Camara p. 37,9.94765,-10.449687
Guinea,Samory_Ouest,Dokol-Serekoro,,market site,Camara p. 37,10.125748,-10.426808
Guinea,Samory_Ouest,Koumandi-Barnatou,,market site,Camara p. 37,10.054188,-10.418805
Guinea,Samory_Ouest,Sininkoro,,,,10.044637,-10.214783
Guinea,Samory_Ouest,Noona,,market site,Camara p. 37,10.876081,-10.496455
Guinea,Samory_Ouest,Serifoula,,market site,Camara p. 37,10.82585,-10.129197
Guinea,Samory_Ouest,Koundian,,annexed ~1800,Camara p. 16,10.698776,-10.125806
Guinea,Samory_Ouest,Missamaghana,,site of assembly to prepare against French invasion,Fofana p. 43,10.366667,-9.916667
Guinea,Samory_Ouest,Kouroussa,,center of Islamic schooling,Fofana p. 40,10.65,-9.883333
Guinea,Samory_Ouest,Tumaniya,,major settlemetn,person carte 20,10.966667,-9.8
Guinea,Samory_Ouest,Heremakono,,market site; annexed ~1800,Camara p. 37,10.933333,-9.733333
Guinea,Samory_Ouest,Fadamaya,,annexed ~1800,Camara p. 15,10.619975,-9.68419
Guinea,Samory_Ouest,Lefarani,,market site,Camara p. 37,10.514778,-9.539615
Guinea,Samory_Ouest,Manfara,,,,10.781223,-9.493671
Guinea,Samory_Ouest,Koumban,,market site,Camara p. 37,10.212944,-9.47357
Guinea,Samory_Ouest,Talikoro,,Early conquest,Fofana p. 26,11.183333,-9.433333
Guinea,Samory_Ouest,Franwalia,,Sight of Barabo,Camara p. 23,11.697195,-9.38413
Guinea,Samory_Ouest,Fadou-Saba,,market site,Camara p. 37,10.396974,-9.373813
Guinea,Samory_Ouest,Makono,,,Osborn,10.2915,-9.363016
Guinea,Samory_Ouest,Damisa-Koro,,Keletigi residence,Person carte 20,11.066667,-9.316667
Guinea,Samory_Ouest,Kankan,,commercial anchor from 1876,Osborn p. 88,10.383333,-9.3
Guinea,Samory_Ouest,Bate Nafadji,,market site,Camara p. 37,10.666667,-9.266667
Guinea,Samory_Ouest,Diagana,,,AF//229,10.47412,-9.235602
Guinea,Samory_Ouest,Forecaria,,market site,Camara p. 37,10.85,-9.216667
Guinea,Samory_Ouest,Kenyera,,,http://www.fafich.ufmg.br/luarnaut/mp_etats_de_Samory.gif,10.983333,-9.216667
Guinea,Samory_Ouest,Sansando,,,AF//229,11.077235,-9.196138
Guinea,Samory_Ouest,Siguri,,,,11.416667,-9.166667
Guinea,Samory_Ouest,Kenibakoura,,,http://www.fafich.ufmg.br/luarnaut/mp_etats_de_Samory.gif,11.296257,-9.143386
Guinea,Samory_Ouest,Diomabana,,signt of Barabo in 1882,Camara p. 23,11.266667,-9.133333
