Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Sudan,Taquali,,Tumale,,fortress and center of kingdom,Ewald 2005 111,12.05825,31.14848,approximate based on map
Sudan,Taquali,,Abu Dom,,mountain garrison,Ewald 2005 114,12.38333,31.51667,
Sudan,Taquali,,Tasi,,royal residence,Ewald 28,12.07521197,31.15396157,approximate based on map
Sudan,Taquali,,Kakaada,,royal residence,Ewald 28,12.21991159,31.18479111,approximate based on map
Sudan,Taquali,,Al-Hoi,,royal residence,Ewald 28,12.1,31.25,
Sudan,Taquali,,Dabba,,royal residence,Ewald 28,11.9,31.63333,approximate based on map
Sudan,Taquali,,Rashad,,town/market,Ewald 28,11.8619,31.0498,
Sudan,Taquali,,Al-Abbasiyya,,town/market,Ewald 28,12.1648,31.303,
Sudan,Taquali,,Kalinda,,royal residence,Ewald 28,12.1646,31.2162,
Sudan,Taquali,,Umm Talha,,royal residence,Ewald 28,11.93333,31.68333,approximate based on map
