Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burkina Faso,Tenkodogo,Yargatenga,,,Izard 1970 p. 389,11.2125,0.005278
Burkina Faso,Tenkodogo,Warge,,,Izard 1970 p. 389,11.502025,0.058857
Burkina Faso,Tenkodogo,Kinzem,,,Izard p. 221,11.516667,-0.05
Burkina Faso,Tenkodogo,Bousouma,,,"Izard 1970, p. 227",11.533333,-0.333333
Burkina Faso,Tenkodogo,Lalgay,,,Izard p. 221,11.582995,-0.058164
Burkina Faso,Tenkodogo,Lalge,,,Izard 1970 p. 389,11.582995,-0.058164
Burkina Faso,Tenkodogo,Lenga,,,"Izard 1970, p. 227",11.583333,-0.733333
Burkina Faso,Tenkodogo,Cominyanga,,,,11.699722,0.136944
Burkina Faso,Tenkodogo,Lergo,,,"Izard 1970, p. 227",11.7,-0.55
Burkina Faso,Tenkodogo,Zigla,,,"Izard 1970, p. 227",11.7,-0.633333
Burkina Faso,Tenkodogo,Dourotenga,,,Izard 1970 p. 389,11.716667,-0.016667
Burkina Faso,Tenkodogo,Loanga,,,"Izard 1970, p. 227",11.733333,-0.4
Burkina Faso,Tenkodogo,Nyarba,,,"Izard 1970, p. 227",11.747518,-0.840848
Burkina Faso,Tenkodogo,Niagho,,,"Izard 1970, p. 227",11.766667,-0.766667
Burkina Faso,Tenkodogo,Tenkudugu,,,Izard 1970 p. 389,11.782723,-0.365458
Burkina Faso,Tenkodogo,Garango,,,"Izard 1970, p. 227",11.8,-0.550556
