Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Congo,Tyo,Mpila,,large market here in late 1800s; but ethnically Bobani even if in Tio territory,Vaninsa 256,-4.25962,15.29816,
Congo,Tyo,Mandiele,,Major lord here,Vansina Map 14,-3.969167,15.6025,
Congo,Tyo,Imbili,Imbouli?,Ngandzio (lord) residence in 1880,Vansina 406,-3.805556,15.163056,
Congo,Tyo,Imbaw,Mba,Major town in Ngaatali Domain,Vansina map,-3.752222,15.200833,
Congo,Tyo,Impo,,Major Nkobi holder here,Vansina Map 11,-3.526389,15.429722,
Congo,Tyo,Akaa Mbiina,Mbina?,Lord here,,-3.410278,15.426667,
DRC,Tyo,Mswata,,Lords of Mbe control river traffic here; minor market,Vansina406/ map,-3.36852,16.20431,
Congo,Tyo,Ngantsu,,Nkobi in Muidzu,Vansina Map 11,-3.331752886,16.19397072,
Congo,Tyo,Mbe,,Capital,,-3.305,15.894167,
Congo,Tyo,Ngampo,Ampo,Ngampo (lord) residence in 1880,Vansina 406,-3.233333,15.95,
Congo,Tyo,Ngabe,,Major town of Ngampo Domain,Vansina map,-3.211781562,16.16738827,
Congo,Tyo,Imbali,,royal graves here,Vansina 16,-3.1875,16.009444,
Congo,Tyo,Inoni,,Major town in Domain,Vansina map,-3.067778,15.649722,
Congo,Tyo,Bwambe,Boembe,Mampiele (lord) residence in 1880,Vansina 406,-2.915556,15.635833,
Congo,Tyo,Mba,,Residence of Nkwe Mbali - spiritual site; king goes through spiritual rituals here when enthroned,Vansina 375,-2.900922275,14.95029353,
Congo,Tyo,Okuu,,Major Nkobi holder here,Vansina Map 11,-2.80583,15.52889,Placed at Mbe - near here
Congo,Tyo,Mpouya,,Nkobi in Muidzu,Vansina Map 11,-2.615,16.217778,
Congo,Tyo,Ibu,Ebu,Major Nkobi holder here,Vansina Map 11,-2.45444,15.67806,
Congo,Tyo,Ndoolo,,Ngwampolo (lord) residence in 1880,Vansina 406,-2.431389,14.673611,
Congo,Tyo,Aka,,Major Nkobi holder here,Vansina Map 11,-2.4225,15.083889,
Congo,Tyo,Abili,,Muidzu (lord) residence in 1880,Vansina 406,-2.3525,15.376389,Placed at Abi - in this area (not at village named Abili in Plateaux)
Congo,Tyo,Ntsaa,,Major Nkobi holder here,Vansina Map 11,-2.241667,15.053333,
Congo,Tyo,Nkwu,Nkoumou?,Major Nkobi holder here,Vansina Map 11,-2.23,15.468889,
Congo,Tyo,Ngeikuu,,Nkobi in Muidzu,Vansina Map 11,-2.181944,15.861111,
