Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Zaria,Birnin Gwari,,major town,Johnston Map 3,10.663737,6.540028
Nigeria,Zaria,Durum,,small principality,Johnston 166,11.293734,7.963078
Nigeria,Zaria,Fatika,,small principality,Johnston 166,11.16258,7.294188
Nigeria,Zaria,Jema'a,,Subemirate,Smaldone p. 55,9.467358,8.386473
Nigeria,Zaria,Kachia,,major town,Johnston Map 3,9.873417,7.95407
Nigeria,Zaria,Kadara,,Subemirate,Lovejoy p. 3,11.043421,6.980992
Nigeria,Zaria,Kagarko,,Subemirate,Lovejoy p. 3,9.491102,7.697709
Nigeria,Zaria,Kajuru,,Subemirate,Lovejoy p. 3,10.322811,7.684617
Nigeria,Zaria,Kauru,,Subemirate,Johnston Map 3,10.576008,8.150956
Nigeria,Zaria,Keffi,Kuchin Keffi?,Subemirate,Smaldone p. 55,9.323399,7.785829
Nigeria,Zaria,Lere,,small principality,Johnston 166,10.385837,8.572855
Nigeria,Zaria,Zaria,,Capital,Smaldone p. 55,11.078945,7.710359
Nigeria,Zaria,Kagoro,,power established here in mid-1800s,Hogben and Kirk Greene 225,9.609131184,8.392508318
Nigeria,Zaria,Sabon Kaura,,power established here in mid-1800s,Hogben and Kirk Greene 225,10.49810664,8.964271188
