Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Aboh,Aboh,,capital,,5.547390259,6.525253755
Nigeria,Aboh,Okpai,,market here,Ogedengbe 273,5.72348,6.60208
Nigeria,Aboh,Utchi,,river town,Ogedengbe 273,5.84803,6.6385
Nigeria,Aboh,Abara-Osimili,,river town,Ogedengbe 273,5.97044,6.70024
Nigeria,Aboh,Umuolu,,river town,Ogedengbe 273,5.4284,6.4871
Nigeria,Aboh,Ndoni,,major trading center,Ogedengbe 273,5.54962,6.58896
Nigeria,Aboh,Onya,,subchief of lowest town,Ogedengbe 269,5.329,6.42693
Nigeria,Aboh,Iselegu,,market,Ogedengbe 314,5.83734,6.47076
Nigeria,Aboh,Ossomari,,major trading center,Ogedengbe 315,5.86693,6.6825
Nigeria,Aboh,Akiti Ogidi,,major trading center,Ogedengbe 315,5.75364,6.65706
