Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Ghana,Akuapem,Abiriw,,Akwampim home town,Brokensha map,5.979871,-0.089407
Ghana,Akuapem,Aburi,,Division head,Brokensha 103,5.847177,-0.177544
Ghana,Akuapem,Adukrom,,Division head,Brokenshaw 104,6.017319,-0.078867
Ghana,Akuapem,Ahenesse,Ayikuma,Division head,Brokenshaw 104,5.920916,-0.053793
Ghana,Akuapem,Akuropon,,final seat of the chief of the Akuapem state,Owusu-Anash 27,5.974624,-0.085415
Ghana,Akuapem,Amanokrom,,Division head,Brokenshaw 104,5.93319,-0.124566
Ghana,Akuapem,Amanprobi,,located 3 miles northwest of Akuropon ,Gilbert 515,5.966667,-0.116667
Ghana,Akuapem,Apirede,,Akwampim home town,Brokensha map,6.036213,-0.078732
Ghana,Akuapem,Awukugua,,Akwampim home town,Brokensha map,5.995751,-0.081936
Ghana,Akuapem,Berekuso,,commander of the vanguard here,Brokenshaw 104,5.759097,-0.22508
Ghana,Akuapem,Dawu,,Akwampim home town,Brokensha map,5.988951,-0.08473
Ghana,Akuapem,Kubease,Larteh,titled officer here,Brokenshaw 104,5.941403,-0.067266
Ghana,Akuapem,Mamfe,,titled officer here,Brokenshaw 104,5.939806,-0.114585
Ghana,Akuapem,Mampon,,titled officer here,Brokenshaw 104,5.913273,-0.140719
Ghana,Akuapem,Obosomase,,village with a strong Guan population ,Gilbert 510,5.875662,-0.15539
Ghana,Akuapem,Tutu,,village with a strong Guan population ,Gilbert 510,5.892031,-0.152994
Ghana,Akuapem,Aserima,,Akwampim home town,Brokensha map,6.06667,-0.08333
Ghana,Akuapem,Akropong,,Akwampim home town,Brokensha map,5.97462,-0.08542
