Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Ghana,Akyem,Akyem Swedru,Akim Swedru,"capital of the Akyem Bosume division of the state, the smallest division ",Owusu-Anash 30,5.893799,-1.016362,
Ghana,Akyem,Jedem,,"original capital of the Akyem Kotoku division of the state, the middle-sized division. Located near Oda ",Owusu-Anash 30,6.31887,-0.59099,Destroyed in 1860; approximate based on Affrifah's map
Ghana,Akyem,Nsuaem,name later changed to Oda,capital of the Akyem Kotoku division moved here ,Owusu-Anash 30,5.923131,-0.995071,
Ghana,Akyem,Asiakwa,,,Attobrah Map,6.261986,-0.506087,
Ghana,Akyem,Kibi,,capital of the Akyem Abuaka division  here ,Affrifah 151,6.16494,-0.553763,
Ghana,Akyem,Asaman,Asamama?,,,6.33863,-0.67742,
Ghana,Akyem,Muoso,,stool under Kotoku here,Affrifah 152,6.3633,-0.60392,
Ghana,Akyem,Banso,,traditional capital,Affirfah 54,6.2437,-0.62777,
Ghana,Akyem,Gyadam-upon-Birem,,Abuakwa town,Affrifah 187,5.92793,-1.03889,
Ghana,Akyem,Asamankese,,Akwamu chiefly lineage absorbed by Abuakwa in 18th century,Affrifah 103,5.86006,-0.6635,
Ghana,Akyem,Akwatia,,Akwamu chiefly lineage absorbed by Abuakwa in 18th century,Affrifah 103,6.04024,-0.80876,
Ghana,Akyem,Tafo,,Akwamu chiefly lineage absorbed by Abuakwa in 18th century,Affrifah 103,6.23352,-0.39782,
Ghana,Akyem,Kukurantumi,,resident here,Affrifah 102,6.18827,-0.36553,
