Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
CAR,Azande_Voungara_Ouest,Zemio,,,Zalck p. 90,5.031437,25.136142
CAR,Azande_Voungara_Ouest,Djema,,,Zalck p. 90,6.046279,25.326075
DRC,Azande_Voungara_Ouest,Mbote,,,"Calonne-Beaufaict, Carte I",4.037703,25.830123
CAR,Azande_Voungara_Ouest,Uando,,,"Evans-Pritchard 1971, p. 298",5.96201,25.95786
CAR,Azande_Voungara_Ouest,Sati,,,"Evans-Pritchard 1971, p. 298",5.300351,26.036282
DRC,Azande_Voungara_Ouest,Bambili,,,"Calonne-Beaufaict, Carte I",3.653857,26.075395
DRC,Azande_Voungara_Ouest,Sili,,,"Calonne-Beaufaict, Carte I",3.650259,26.383459
CAR,Azande_Voungara_Ouest,Obo,,,Zalck p. 90,5.399784,26.486881
CAR,Azande_Voungara_Ouest,Yapasira,,,"Calonne-Beaufaict, Carte I",5.166667,26.533333
CAR,Azande_Voungara_Ouest,Gubere,,,"Calonne-Beaufaict, Carte I",5.85,26.766667
DRC,Azande_Voungara_Ouest,Amadi,,,"Calonne-Beaufaict, Carte I",3.633351,26.768375
DRC,Azande_Voungara_Ouest,Poko,,,"Calonne-Beaufaict, Carte I",3.157716,26.896312
CAR,Azande_Voungara_Ouest,Mopoi,,,"Calonne-Beaufaict, Carte I",5.133333,26.916667
