Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Chad,Bagirmi,,Abouguern,,Army Chief based here,Le Beuf 176,11.78538,15.975759,
Chad,Bagirmi,,Arkwa,,Maitre de Terre here,Le Beuf 176,11.5515,16.2553,
Chad,Bagirmi,,Badanga,,Prominent Palace Servant based here,Le Beuf 176,11.599167,17.415833,
Chad,Bagirmi,,Badjao,,Prominent Palace Servant based here,Le Beuf 176,11.1871,17.4615,
Chad,Bagirmi,,Baigaine,,Army Chief based here,Le Beuf 176,10.7670075,16.07411489,
Chad,Bagirmi,,Balaniere,,Royal Family here,Le Beuf 176,10.838206,15.745227,
Chad,Bagirmi,,Balao,,Maitre de Terre here,Le Beuf 176,11.685,16.2664,
Chad,Bagirmi,,Bamna,,Prominent Palace Servant based here,Le Beuf 176,11.6089,17.5307,
Chad,Bagirmi,,Barie,,Royal Family here,Le Beuf 176,10.978267,15.823573,
Chad,Bagirmi,,Beli,Bile?,Prominent Palace Servant based here,Le Beuf 176,10.4022,17.2842,
Chad,Bagirmi,,Bideri,,Army Chief based here,Le Beuf 176,11.5636,16.2245,
Chad,Bagirmi,,Bodoro,,Royal Family here,Le Beuf 176,11.2169,16.4745,
Chad,Bagirmi,,Bougouman,,Briefly capital in 1850s-60s; E14 chandelier opal ,Reyna 87,11.456446,15.358832,
Chad,Bagirmi,,Boukal,,Royal Family here,Le Beuf 176,11.437342,15.925925,
Chad,Bagirmi,,Bouloulou,,Army Chief based here,Le Beuf 176,12.286714,16.993075,
Chad,Bagirmi,,Bousso,,Prominent Palace Servant based here,Le Beuf 176,10.48408388,16.71024087,
Chad,Bagirmi,,Dagana,,Army Chief based here,Le Beuf 176,12.466601,16.792336,Approximate location based on map and location of Batha Lairi wadi
Chad,Bagirmi,,Dilfi,,Army Chief based here,Le Beuf 176,10.645833,16.777714,
Chad,Bagirmi,,Djana,,Prominent Palace Servant based here,Le Beuf 176,10.966667,17.55,
Chad,Bagirmi,,Dogoya,Dougui?,Army Chief based here,Le Beuf 176,12.343431,15.114175,Numerous Douguis; placed at location most approximate to map
Chad,Bagirmi,,Erla,,Prominent Palace Servant based here,Le Beuf 176,11.7473,17.2841,
Chad,Bagirmi,,Gamari,,Army Chief based here,Le Beuf 176,12.349119,16.674323,Approximate location based on map and location of Batha Lairi wadi
Chad,Bagirmi,,Gawi,Gahui,Prominent Palace Servant based here,Le Beuf 176,12.175562,15.146616,
Chad,Bagirmi,,Goundji,Gundi,Army Chief based here,Le Beuf 176,9.362667,17.365969,
Chad,Bagirmi,,Gueskere,,Army Chief based here,Le Beuf 176,11.6689,16.3469,
Chad,Bagirmi,,Guielndeng,,Royal Family here,Le Beuf 176,10.917617,15.550105,
Chad,Bagirmi,,Ilal,,Army Chief based here,Le Beuf 176,10.811482,16.083799,
Chad,Bagirmi,,Kaba,,Army Chief based here,Le Beuf 176,10.697,16.3162,
Chad,Bagirmi,,Kague,Kaga?,Prominent Palace Servant based here,Le Beuf 176,9.164733,17.508325,UNSURE
Chad,Bagirmi,,Kiao,,Prominent Palace Servant based here,Le Beuf 176,10.6362,16.3957,
Chad,Bagirmi,,Klessoum,,Army Chief based here,Le Beuf 176,12.010394,15.182463,
Chad,Bagirmi,,Kole,,Army Chief based here,Le Beuf 176,11.130164,16.40582,
Chad,Bagirmi,,Korba,,Prominent Palace Servant based here,Le Beuf 176,10.3895,17.4097,
Chad,Bagirmi,,Korbol,,Army Chief based here,Le Beuf 176,10.0062,17.7111,
Chad,Bagirmi,,Kourswa,,Royal Family here,Le Beuf 176,11.8305,17.0912,approximate location based on Paques map
Cameroun,Bagirmi,,Kousseri,,Army Chief based here,Le Beuf 176,12.076892,15.030627,
Chad,Bagirmi,,Lairi,,Army Chief based here,Le Beuf 176,10.822,17.1066,
Chad,Bagirmi,,Lapana,,Army Chief based here,Le Beuf 176,10.50463328,16.60251131,
Chad,Bagirmi,,Mandjaffa,,Army Chief based here,Le Beuf 176,11.182395,15.417379,
Chad,Bagirmi,,Mappaling,,Army Chief based here,Le Beuf 176,11.14791746,15.42436041,approximate based on Paques map
Chad,Bagirmi,,Martia,,Prominent Imam here,Le Beuf 176,10.931755,16.15646,
Chad,Bagirmi,,Massenya,,Capital,Lebeuf 1967,11.55,16.666667,Capital deplaces to current location ~1900; this is old location
Chad,Bagirmi,,Mere,,Prominent Palace Servant based here,Le Beuf 176,11.3734,17.4347,
Chad,Bagirmi,,Mile,,Royal Family here,Le Beuf 176,11.886954,15.261332,
Chad,Bagirmi,,Miltou,,Army Chief based here,Le Beuf 176,10.230867,17.440582,
Chad,Bagirmi,,Mogroum,,Army Chief based here,Le Beuf 176,11.110598,15.412829,
Chad,Bagirmi,,Moito,,Territorial Chief here,Le Beuf 176,12.587778,16.555278,
Chad,Bagirmi,,Moudou,,Important village,Paques 69,11.4952,16.4211,
Chad,Bagirmi,,Mouskouk,,Army Chief based here,Le Beuf 176,10.75,16.133333,
Chad,Bagirmi,,Ononko,,Maitre de Terre here,Le Beuf 176,10.91581642,15.63245653,
Chad,Bagirmi,,Oualdi,,One of oldest villages,Paques 69,11.4038,16.431,
Chad,Bagirmi,,Oueske,,Army Chief based here,Le Beuf 176,11.3304,16.3226,
Chad,Bagirmi,,Palem,,Prominent Palace Servant based here,Le Beuf 176,9.376607,17.270581,
Chad,Bagirmi,,Pouro,,Army Chief based here,Le Beuf 176,11.3334,16.5716,
Chad,Bagirmi,,Seita,,One of oldest villages,Paques 68,11.3644,16.5178,
Chad,Bagirmi,,Tchinga,Atchinga,Royal Family here,Le Beuf 176,12.321374,16.178645,
Chad,Bagirmi,,Tideng,,Prominent Palace Servant based here,Le Beuf 176,10.7756,16.0414,
