Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Banyo,Mbonkim,,,"Mohammadou 1978, 436",6.083333,11.5
Cameroon,Banyo,Yimbere,,,Yahya p. 205,6.35,11.566667
Cameroon,Banyo,Niagoum,,,Yahya p. 205,6.383333,11.95
Cameroon,Banyo,Songkola,,,"Mohammadou 1978, 436",6.4,11.3
Cameroon,Banyo,Mayo Darle,,,Yahya p. 205,6.466667,11.55
Cameroon,Banyo,Ribadou,,,"Mohammadou 1978, 436",6.5,11.433333
Cameroon,Banyo,Ngoum Baya,,,Yahya p. 206,6.683333,11.6
Cameroon,Banyo,Labarre,,,Yahya p. 205,6.716667,11.916667
Nigeria,Banyo,Gembou,,,"Mohammadou 1978, 436",6.719209,11.253517
Cameroon,Banyo,Banyo,,,"Mohammadou 1978, 436",6.75,11.816667
Nigeria,Banyo,Bariwa,,,"Mohammadou 1978, 436",6.818384,12.045589
Cameroon,Banyo,Makam,,,Yahya p. 205,6.830847,12.101523
Cameroon,Banyo,Boudjoukoura,,,Yahya p. 205,6.85,11.616667
Nigeria,Banyo,Mayo-Daga,,,"Mohammadou 1978, 436",6.916667,11.433333
Cameroon,Banyo,Gangdouwa,,,"Mohammadou 1978, 436",6.933333,11.716667
Cameroon,Banyo,Mbamti,,,"Mohammadou 1978, 436",6.983333,11.966667
Cameroon,Banyo,Mgba,,,"Mohammadou 1978, 436",6.983333,11.916667
Cameroon,Banyo,Djem,,,"Mohammadou 1978, 436",7.016667,12.2
Nigeria,Banyo,Nama,,,"Mohammadou 1978, 436",7.081826,10.798439
Cameroon,Banyo,Boute Mbam,,,Yahya p. 206,7.083333,11.983333
Cameroon,Banyo,Sambo-Labbo,,,"Mohammadou 1978, 436",7.083333,11.983333
Nigeria,Banyo,Yakuba,,,"Mohammadou 1978, 436",7.266667,11.633333
Nigeria,Banyo,Selbe,,,"Mohammadou 1978, 436",7.283333,11.133333
Nigeria,Banyo,Galea,,,"Mohammadou 1978, 436",7.283411,10.682767
Nigeria,Banyo,Gassiga,Gasmaka,,"Mohammadou 1978, 436",7.366667,11.483333
Cameroon,Banyo,Dowdewo,,,"Mohammadou 1978, 436",7.483333,12.066667
Nigeria,Banyo,Serti,,,"Mohammadou 1978, 436",7.505744,11.3631
Cameroon,Banyo,Guengoumi,,,"Mohammadou 1978, 436",7.55,12.466667
Nigeria,Banyo,Dawou,,,"Mohammadou 1978, 436",7.716667,11.883333
Nigeria,Banyo,Karamti,,,"Mohammadou 1978, 436",7.716667,11.483333
Nigeria,Banyo,Djonbi,,,"Mohammadou 1978, 436",7.8,12.066667
Cameroon,Banyo,Alme,,,"Mohammadou 1978, 436",7.816667,12.483333
Cameroon,Banyo,KontchaDawou,,,"Mohammadou 1978, 436",7.966667,12.233333
Nigeria,Banyo,Toango,,,Njeuma p. 74,8.117331,12.046108
Nigeria,Banyo,Sougou,,,"Mohammadou 1978, 436",8.366667,12.066667
Nigeria,Banyo,Gouroumpawo,,,"Mohammadou 1978, 436",8.45,11.933333
