Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Senegal,Baol,Nianing,Nianing,,Chief of Nianing province here,Martin and Becker 39,14.344018,-16.92745,
Senegal,Baol,Diegem,Sao,,Chief of Diegem province here,Martin and Becker 39,14.483827,-16.666294,
Senegal,Baol,Mbadan,Fissel,,,Martin and Becker 39,14.541449,-16.613964,
Senegal,Baol,Safen,Ndiass,,,Martin and Becker 41,14.637859,-17.085907,
Senegal,Baol,Ngoye,Ngoye,,Chief of Ngoye Province here,Martin and Becker 38,14.640636,-16.432406,
Senegal,Baol,Ndondel,Ndondol,,,Martin and Becker 37,14.645792,-16.585479,
Senegal,Baol,Ngat,Ngat,,Chief of Ngat province here,Martin and Becker 38,14.68922,-16.53343,
Senegal,Baol,Diack,Bardiack,Placed at Diack,Chief of Diak province here,Martin and Becker 38,14.69122,-16.717329,
Senegal,Baol,Ndaden,Thiakhar,,Chief of Ndaden province here,Martin and Becker 37,14.69672,-16.36025,
Senegal,Baol,Diobas,Babak,,,Martin and Becker 40,14.704782,-16.903143,
Senegal,Baol,Tidiar,Tengue Ouolof,,Village of Ndiaye lineage; one of five electors from this family; chief of Tidiar province here,Martin and Becker 35,14.706131,-16.182896,
Senegal,Baol,Lambaye,Seo,,Grand Jaaraf frequently seated here,Martin and Becker 36,14.711099,-16.521193,
Senegal,Baol,,SAMBE GUINTE,,,,14.711887,-16.223146,
Senegal,Baol,Diack,Ngoudiane,,Capital of Diack Province chief,Martin and Becker 36,14.720485,-16.735247,
Senegal,Baol,Lambaye,Ngokhothie,,Commander of land around Lambaye based here,Martin and Becker 36,14.72659,-16.59254,
Senegal,Baol,Kaba,Kaba,Kaba Diack,"Chief of crown captives based here, administers Kaba province",Martin and Becker 37,14.741521,-16.617175,
Senegal,Baol,Lambaye,Poleck,placed at Ngaraf,Grand Jaaraf frequently seated here,Martin and Becker 36,14.750172,-16.525175,
Senegal,Baol,La,La,,,Martin and Becker 35,14.753809,-15.978332,
Senegal,Baol,,Mbeye,,Electoral college seated here,Martin and Becker 35,14.762934,-16.142726,
Senegal,Baol,,Toubé,,Village of Dieye lineage; one of five electors from this family,Martin and Becker 35,14.764382,-16.288319,
Senegal,Baol,Bounkoy,Bounkoy,,Grand Jaaraf frequently seated here,Martin and Becker 36,14.783216,-16.396274,
Senegal,Baol,Ndiet,Ndiet,,,Martin and Becker 38,14.795553,-16.322043,
Senegal,Baol,Fandene,Fandene,,,Martin and Becker 42,14.803734,-16.868033,
Senegal,Baol,Lambaye,Lambaye,,Principle residence of Teen here,Martin and Becker 36,14.803756,-16.532987,
Senegal,Baol,Mbayar,Ndankh,,,Martin and Becker 36,14.838938,-16.143642,
Senegal,Baol,Salao,Ndiatak,,Chief of Salao province here,Martin and Becker 37,14.848249,-16.22367,
Senegal,Baol,Peg,Keur Samba Kane,,Chief of Peg province here,Martin and Becker 37,14.896407,-16.599265,
Senegal,Baol,Gewul,Ngol,,Chief of Gewul province here; critical for defense against Kayor,Martin and Becker 37,14.955796,-16.435911,
Senegal,Baol,Ndogal,Ndoukouman Dieng,,Chief of Ndogal province here; critical for defense against Cayor,Martin and Becker 37,14.98749,-16.30806,
