Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Uganda,Buganda,Masaka,,central city of the Buddu region; capital of pokino ,Piroulet 96,-0.320041,31.760273
Uganda,Buganda,Mpumudde,,rotating capital,Ried 1998 p. 6,0.20246,32.45505
Uganda,Buganda,Bunjako,,Headquarter of second in command of canoes,Rowe 215,-0.002629,32.152153
Uganda,Buganda,Naggalabi Buddo,Kisozi,location of the coronation,Kiwanuka  16,0.07164,31.600325
Uganda,Buganda,Kitala,,seat of Mugema territorial chief; Busiro district late 1800s,Rowe 215,0.11645,32.51641
Uganda,Buganda,Butoolo,,seat of Kaima territorial chief; Mawokota district,Rowe 215,0.123787,32.229618
Uganda,Buganda,Ntanda,,Temple site,Medard and Chretien 343,0.145056,32.072475
Uganda,Buganda,Kanoni,,seat of kitunzi territorial chief; Gomba district,,0.172945,31.906578
Uganda,Buganda,Jungo,,Headquarter of 'admiral' chief,Rowe 215,0.177199,32.442739
Uganda,Buganda,Ntanjeru,,,Kiwanuka Map,0.212964,32.783385
Uganda,Buganda,Mpenja Hill,,seat of kitunzi territorial chief; Gomba district late 1800s,Rowe 215,0.22432,32.05059
Uganda,Buganda,Munyonyo,,Mutesa's retreat; site of important port,Reid 1998 13,0.237665,32.61956
Uganda,Buganda,Mbale,,Jawbone shrine of God of war,Medard and Chretien 343,0.248845,32.338561
Uganda,Buganda,Bweya,,seat of katambala territorial chief; Butambala district,Kiwanuka 118,0.251329,32.297288
Uganda,Buganda,Kabasanda Hill,,seat of katambala territorial chief; Butambala district late 1800s,Rowe 215,0.264746,32.224694
Uganda,Buganda,Banda,,Mutesa's capital 1860s,Reid 1998 9,0.2676,31.89984
Uganda,Buganda,Kisozzi,,,,0.294722,32.333223
Uganda,Buganda,Mwera,,seat of kasujju territorial chief; Busujja district,Rowe 215,0.310636,32.149461
Uganda,Buganda,Nnono,Magonga,burial location of Kato Kintu,Ssekamwa ,0.31707,32.23381
Uganda,Buganda,Kampala,,royal capital; home of the Kabaka,Piroulet 52,0.320921,32.596683
Uganda,Buganda,Kasubi-Nabulagala,,"royal shrine here; rotating capital, Suna ~1844; Mutesa  late 1860s",Ried 1998 p. 7,0.329118,32.553221
Uganda,Buganda,Bujuko,,Jawbone shrine; Busiro district,Wrigley 80,0.331474,32.374064
Uganda,Buganda,Mulago,,first capital of Suna ~1830,Reid 1998 7,0.341539,32.575897
Uganda,Buganda,Mukono,,seat of Sekibobo territorial chief; Kyagwe district,Rowe 215,0.356236,32.751312
Uganda,Buganda,Ssentema,,seat of Mugema territorial chief; Busiro district,,0.383795,32.422269
Uganda,Buganda,Kalunga Hill,Kayunga? West of Mityana,Mutongole in Singo'shq,Rowe 215,0.390597,32.481388
Uganda,Buganda,Misindye,,Mumyuka of Kyaggwe's hq,Rowe 215,0.400428,32.701589
Uganda,Buganda,Mbuya Hill,,seat of Kago territorial chief; Kyandondo district late 1800s,Rowe 215,0.41605,32.58557
Uganda,Buganda,Kasengeje,,Mutongole in Busiro hq,Rowe 215,0.41895,32.539195
Uganda,Buganda,Bukalango,Kakiri,,Wrigley,0.42086,32.392664
Uganda,Buganda,Jinja,,,Ried 1998 p. 6,0.423837,33.212438
Uganda,Buganda,Bukeerere,Bukerere,Ancient center of Kyaggwe,Wrigley Map,0.425286,32.702456
Uganda,Buganda,Kasangati,,seat of Kago territorial chief; Kyandondo district,Kiwanuka,0.437578,32.601509
Uganda,Buganda,Bulondo,,Jawbone shrine; Busiro district,Wrigley 80,0.459401,32.431982
Uganda,Buganda,Mityana,,seat of Muwendo territorial chief; Singo district,Rowe 215,0.464295,31.699051
Uganda,Buganda,Bakka,Gombe,thought to be the birthplace of life according to the Baganda,Wrigley 87,0.488738,32.480145
Uganda,Buganda,Nakanyonyi,,Mutongole in Kyaggwe's hq,Rowe 215,0.521907,32.756527
Uganda,Buganda,Bowa,,seat of Kangawo territorial chief; Bulamezi district,Kiwanuka 118,0.654674,32.488111
Uganda,Buganda,Nsala Hill,,Sabawali of Singo's headquarters,Rowe 215,0.800783,31.907455
