Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Uganda,Bunyoro,Buhimba,,king here in late 1800,Dunbar 76],1.346279,31.313344
Uganda,Bunyoro,Bujenje,,major source of iron,Uzoigwe 431,1.593136,31.647364
Uganda,Bunyoro,Butiaba,,,,1.819825,31.32334
Uganda,Bunyoro,Hoima,,One of the many royal capitals,Dunbar 67,1.431637,31.3515
Uganda,Bunyoro,Kagadi,,market center; unclear possession vis-ˆ-vis Toro,Uzoigwe 435,0.937553,30.812548
Uganda,Bunyoro,Kassingo,,chief here,Dunbar 68 (map),1.39918,31.33226
Uganda,Bunyoro,Kibero,Kibiro,important salt flats here,Dunbar 68 (map),1.676903,31.2542
Uganda,Bunyoro,Kijuura,,market village,Uzoigwe 436,1.62981,31.30869
Uganda,Bunyoro,Kikonda,,,,1.08183,31.01641
Uganda,Bunyoro,Kikoroto,,,Dunbar 68 (map),1.593656,31.557186
Uganda,Bunyoro,Kikumbya,,"royal capital established by Kyebambe III Nyamatukura, who's son rebels to from Toro; contested in 1800s; unclear possession vis-ˆ-vis Toro",Wilson 5,0.83154,30.98363
Uganda,Bunyoro,Kirunga,Karunga,,,1.99065,32.12636
Uganda,Bunyoro,Kisabagwa,,,Dunbar 83,1.51066,31.407942
Uganda,Bunyoro,Kisalizi,,market center; unclear possession vis-ˆ-vis Toro,Uzoigwe 436,0.90454,31.08047
Uganda,Bunyoro,Kisindizi,,post established by Kabarega in 1870s,Dunbar 68 (map),1.7583,31.702131
Uganda,Bunyoro,Kisuga,,,Dunbar 68 (map),1.64764,31.818856
Uganda,Bunyoro,Kitana,,,Dunbar 68 (map),1.6345,31.28607
Uganda,Bunyoro,Masindi,,One of the many royal capitals and an important iron trading city. ,Dunbar 22,1.681564,31.719904
Uganda,Bunyoro,Mruli,Masindi Port,,Dunbar 68 (map),1.696137,32.084738
Uganda,Bunyoro,Ndandamire,,,Dunbar 68 (map),2.168681,31.397207
Uganda,Bunyoro,Pajao,,,Dunbar 68 (map),2.270562,31.666386
Uganda,Bunyoro,Panyatoli,placed at Omutalya - no longer exists,large cattle camp,Dunbar 68 (map),2.148398,32.137984
