Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Burundi,Burundi,Ndago,,southern dynasty capital,Mworoha p. 117,-3.893,29.6409
Burundi,Burundi,Munyinya,,southern dynasty capital,Mworoha p. 117,-3.8233,29.8778
Burundi,Burundi,Burunga,,Commercial Center,Mworoha p. 211,-3.6865,29.8972
Burundi,Burundi,Itaba,,Commercial Center,Mworoha p. 211,-3.6604,30.0119
Burundi,Burundi,Munanira,,Commercial Center,Mworoha p. 211,-3.6377,29.6681
Burundi,Burundi,Gasasa,,Commercial Center,Mworoha p. 211,-3.6363,30.0052
Burundi,Burundi,Gisozi,,southern dynasty capital,Mworoha p. 117,-3.5736,29.6789
Burundi,Burundi,Ruhororo,,Commercial Center,Mworoha p. 211,-3.5608,29.8524
Burundi,Burundi,Ngara,,Resident of a queen,Mworoha p. 211,-3.5519,29.7112
Burundi,Burundi,Buga,,Resident of a queen,Mworoha p. 211,-3.5432,29.9402
Burundi,Burundi,Saswe,,Commercial Center,Mworoha p. 211,-3.5413,29.7621
Burundi,Burundi,Nyamiyaga,,Commercial Center,Mworoha p. 211,-3.5277,29.6488
Burundi,Burundi,Nkoma,,Ritual site,Mworoha p. 215,-3.5046,29.6066
Burundi,Burundi,Simba,,Commercial Center,Mworoha p. 211,-3.5032,29.9834
Burundi,Burundi,Buhoro,,Resident of a queen,Mworoha p. 211,-3.483,29.5259
Burundi,Burundi,Mugoboka,,Commercial Center,Mworoha p. 211,-3.4744,29.93
Burundi,Burundi,Shana,,Commercial Center,Mworoha p. 211,-3.459,29.6352
Burundi,Burundi,Murunga,,Commercial Center,Mworoha p. 211,-3.443,29.5685
Burundi,Burundi,Nyakibingo,,Resident of a queen,Mworoha p. 211,-3.4415,29.9867
Burundi,Burundi,Rubango,,Resident of a queen,Mworoha p. 146,-3.4088,29.7192
Burundi,Burundi,Higiro,,Commercial Center,Mworoha p. 211,-3.4043,29.9696
Burundi,Burundi,Mahonda,,Commercial Center,Mworoha p. 211,-3.3856,29.9179
Burundi,Burundi,Ndava,,Resident of a queen,Mworoha p. 211,-3.3692,29.766
Burundi,Burundi,Nyamugari,,,Mworoha p. 146,-3.35,29.818
Burundi,Burundi,Kiganda,,Resident of a queen,Mworoha p. 211,-3.348,29.6921
Burundi,Burundi,Rukiga,,Resident of a queen,Mworoha p. 211,-3.3475,29.6041
Burundi,Burundi,Rushemeza,,Resident of a queen,Mworoha p. 211,-3.3371,29.7641
Burundi,Burundi,Gatongati,,Commercial Center,Mworoha p. 211,-3.2809,29.7393
Burundi,Burundi,Muramvya,,Royal capital,Eggars 106,-3.2696,29.6265
Burundi,Burundi,Carire,,Resident of a queen,Mworoha p. 211,-3.2609,29.8564
Burundi,Burundi,Mbuye,,Royal capital,Mworoha p. 211,-3.240575,29.692882
Burundi,Burundi,Bukeye,,Royal capital,Mworoha p. 211,-3.1921,29.6383
Burundi,Burundi,Gitega,,Commercial Center,Mworoha p. 211,-3.190754,29.878465
Burundi,Burundi,Nyabigyogi,,Resident of a queen,Mworoha p. 211,-3.1718,29.7728
Burundi,Burundi,Rango,,Resident of a queen,Mworoha p. 211,-3.1563,29.7589
Burundi,Burundi,Mutaho,,Resident of a queen,Mworoha p. 211,-3.156056,29.862325
Burundi,Burundi,Murambi,,Resident of a queen,Mworoha p. 211,-3.1477,29.6193
Burundi,Burundi,Gashishima,,Commercial Center,Mworoha p. 211,-3.1471,29.5721
Burundi,Burundi,Munanira,,Resident of a queen,Mworoha p. 211,-3.1404,29.9281
Burundi,Burundi,Taba,,Commercial Center,Mworoha p. 211,-3.0961,29.8967
Burundi,Burundi,Bugenyuzi,,Royal enclos under Ntare,Mworoha p. 157,-3.088751,30.061829
Burundi,Burundi,Munyinya,,Commercial Center,Mworoha p. 211,-3.025,29.6258
Burundi,Burundi,Remera,,Resident of a queen,Mworoha p. 211,-2.966,29.5542
Burundi,Burundi,Musenyi,,Residence of Muzazi Prince,Mworoha p. 227,-2.95433,30.032066
Burundi,Burundi,Karwa,,Commercial Center,Mworoha p. 211,-2.9465,30.1463
Burundi,Burundi,Remera,,Commercial Center,Mworoha p. 211,-2.9183,29.9149
Burundi,Burundi,Nzozi,,Residence of Muzazi Prince,Mworoha p. 227,-2.909971,29.824308
Burundi,Burundi,Gashikanwa,,Commercial Center,Mworoha p. 211,-2.908794,29.897718
Burundi,Burundi,Mwumba,,Commercial Center,Mworoha p. 211,-2.8589,29.7879
Burundi,Burundi,Musasa,,Royal seat in Basine,Mworoha p. 146,-2.8225,30.0806
Burundi,Burundi,Munyange,,Royal seat in Basine,Mworoha p. 146,-2.8188,30.1195
Burundi,Burundi,Vumbi,,Royal seat in Basine,Mworoha p. 146,-2.7189,30.1042
Burundi,Burundi,Kibamba,Kibande,Royal seat in Basine,Mworoha p. 146,-2.6389,30.0852
