Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Senegal,Cayor,,Diakhate,,"Khaly, Cadi named by Damel resides here",Ba 164,14.759185,-17.061479
Senegal,Cayor,,Pout,,Garison here,Sabatie 196,14.771217,-17.061024
Senegal,Cayor,,Santhiou Pire,,Serigne based here ,Colvin,14.932006,-16.788082
Senegal,Cayor,,Pire,,important Muslim center,Diouf 18,15.012608,-16.735739
Senegal,Cayor,,Taiba,,Influnetial marabout here,Sabatie 392,15.040713,-16.881373
Senegal,Cayor,,Merina Diop,,head of Merina province,Diouf 18,15.047337,-16.463311
Senegal,Cayor,,Khandan,,traditional capital,Colvin 58,15.050622,-16.64375
Senegal,Cayor,,Badial,,"Capital of Amari Ngone, Damel turn of 1800s",Sabatie 393,15.051315,-16.55127
Senegal,Cayor,,Battal,,Seat of Jeraaf Batal,Ba 162,15.074946,-16.543542
Senegal,Cayor,,Ngateigne,Gatteigne,Representative of freeborn here,Sabatie 312,15.10523,-16.599163
Senegal,Cayor,,Mekhe,,traditional capital,Colvin 58,15.111774,-16.630832
Senegal,Cayor,,Ngol Ngol (Mbamba Tall,,garrison here,Sabatie ,15.121164,-16.476962
Senegal,Cayor,,Diamatil,,Lamane based here,Sabatie 312,15.127655,-16.455858
Senegal,Cayor,,Mboro,,Mbeye Mboro seated here,Ba 163,15.140814,-16.888022
Senegal,Cayor,,Nguiguis Mor,,traditional capital,Colvin 58,15.15275,-16.55718
Senegal,Cayor,,Mberine,VERIFY ON GMAPS,Mbeye Sal seated here,Ba 163,15.15557,-16.403299
Senegal,Cayor,,Maka,,traditional capital used during conflict with Baol,Colvin 58,15.179814,-16.795755
Senegal,Cayor,,Mboul,,traditional capital; electors meet here to choose new damel,Colvin 58,15.203835,-16.457648
Senegal,Cayor,,Palene,at Tiele,traditional capital,Colvin 58,15.227773,-16.635322
Senegal,Cayor,,Ndande,,Treaty signed here; Damels often present here,Sabatie 134,15.279206,-16.520857
Senegal,Cayor,,Kab Gaye,,Elector from here; represents marbaouts,Ba 167,15.311582,-16.628044
Senegal,Cayor,,Ndiob,,"Serigne Ndiob, lesser provincial chief here",Ba 164,15.405444,-16.190323
Senegal,Cayor,,Ndiambor Fall,,head of Diambour province,Diouf 18,15.4083609,-16.241687
Senegal,Cayor,,Guet,,Frontier province with Djoloff,Colvin 61,15.411372,-16.087995
Senegal,Cayor,,Ngourane Ouolof,,Provincial chief of Ngourane here,Rousseau 269,15.446331,-16.293965
Senegal,Cayor,,Gueoul,,Seat of Jaraaf Ndiambour,Ba 162,15.477308,-16.340419
Senegal,Cayor,,Koki,,Marabout Provincial Chief,Colvin 38,15.502763,-15.992169
Senegal,Cayor,,Mbediene,,Provincial chief of Bedienne here,Rousseau 269,15.508961,-16.20148
Senegal,Cayor,,Ouarakh,,Seat of Gankal,Ba 162,15.513825,-16.057339
Senegal,Cayor,,Thialore,Thiarigne?,Provincial chief of Mbaour here,Rousseau 269,15.530846,-16.419528
Senegal,Cayor,,Louga,,Serin here with a set of villages under him,Searing 32,15.622367,-16.22612
Senegal,Cayor,,Niomre,,Marabout Provincial Chief,Colvin 38,15.674546,-16.114844
Senegal,Cayor,,Nguick,,Marabout Provincial Chief,Colvin 38,15.827525,-16.18417
Senegal,Cayor,,Barale (Ntiol),,Mberine Seated here,Ba 163,15.852202,-16.234639
Senegal,Cayor,,ndiol gandiole,,large coastal market; Alcaty Gandiole placed here by Damel to administer,Colvin 256,15.878731,-16.50031
Senegal,Cayor,,Mpal,,Marabout Provincial Chief,Colvin 38,15.91405,-16.26049
Senegal,Cayor,,Toube,at Diama Toube,seat of Mbeye Toube,Ba 162,15.954706,-16.447246
Senegal,Cayor,,Ndieuk,,"Serigne Ndiak, lower chief here",Ba 164,15.41903162,-16.07602371
