Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Nigeria,Ekiti,Ado Ekiti,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.623289,5.22087
Nigeria,Ekiti,Aiyede,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.890494,5.336824
Nigeria,Ekiti,Akure,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.252933,5.192502
Nigeria,Ekiti,Aramoko,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.704831,5.040539
Nigeria,Ekiti,Efon Alaye,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.656495,4.922354
Nigeria,Ekiti,Emure,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.436356,5.45925
Nigeria,Ekiti,Igbara Odo,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.502512,5.062578
Nigeria,Ekiti,Ijero,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.845819,5.056858
Nigeria,Ekiti,Ikerre,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.502093,5.218075
Nigeria,Ekiti,Ikole,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.791481,5.508652
Nigeria,Ekiti,Ire,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.738848,5.396605
Nigeria,Ekiti,Ishan,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.9213,5.3186
Nigeria,Ekiti,Itaji,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.881883,5.340324
Nigeria,Ekiti,Ogotun Iddo,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.505165,5.008083
Nigeria,Ekiti,Omuwo,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.759144,5.722496
Nigeria,Ekiti,Osi,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.788256,5.158324
Nigeria,Ekiti,Otun,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.988584,5.122911
Nigeria,Ekiti,Oye,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.799765,5.332422
Nigeria,Ekiti,Oke-Messi,,one of sxteen towns with Oba in Ekiti,Smith p. 45,7.816667,4.916667
