Poil,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Agaw Gemjabet,,Church here,Crummey 211,10.85,36.883333,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Basso,,entrepot in 1840s,Hassen 471,10.100198,37.715584,approximate location; was just sw of Yejube
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Bicana Giyorgis,,Church gult here,Crummey 164,10.45,38.2,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Burie,,,,10.7,37.066667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dabra Bahrey,,Monestary ,Encyclopaedia Aethiopica v. 2 10,10.26667,38.51667,approximate
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dabra Marqos,,monastery,Lindahl Data,10.319134,37.724985,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dabra Warq,,influential monostery,Crummey 157,10.666667,38.166667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dalma Amanuel,,church here,Tegegne 169,10.45,37.566667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dangela,,slave market,Encyclopaedia Aethiopica v. 2 86,11.25825575,36.84631455,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Debra Gannat Elyas,,Monestary ,Encyclopaedia Aethiopica v. 2 21,10.30128467,37.46291691,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Debra Mawi,,Monestary ,Encyclopaedia Aethiopica v. 2 34,11.25156779,37.76483319,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dembecha,,fort here; royal family here,Lindahl Data,10.55,37.483333,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dengera Maryam,,rim church here,Tegegne 161,10.8,37.28333,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dima Giyorgis,,influential monostery,Crummey 157,10.55,38.166667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Dirdira,,church and gults here,Encyclopedia v. 2 827,11.383333,37.383333,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Gemjabet Kidana Mehret,in Dabra Markos,Church here,Crummey 211,10.35,37.733333,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Martula Maryam,,Church here,Crummey,10.833333,38.266667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Mota,,Church here,Crummey 157,11.083333,37.866667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Mutarra,,Mountain Fortress here,Encyclopaedia Aethiopica v. 2 21,10.16092722,37.36373236,approximate
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Qaranyo,,Church gult here,Crummey 164,10.966667,37.966667,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Selalo,,Monastery,Encyclopedai Aethiopia v. 5 510,11.18333,37.7,
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Yajube,,major slave market with tax collector appointed ,Zewde 22,10.15,37.75,near Basso
Ethiopia,Early Ethiopia_Gojjum,Gojjum,Yawesh Mikael,,Church gult here,Crummey 164,10.166667,37.816667,
