Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Early Ethiopia_Gondar,Simen,Darasge,,Church here,Zewde 30,13.033333,38.183333,
Ethiopia,Early Ethiopia_Gondar,Simen,Inchete,,governors palace,Lindahl data,13.183333,38.133333,
Ethiopia,Early Ethiopia_Gondar,Gondar,Amba Cara,,Tewodros proclaims himself emperor here,Encyclopedai Aethiopia 218,12.46667,37.65,approximate
Ethiopia,Early Ethiopia_Gondar,Gondar,Amba Chera,,Kassa declares himself king here,Rubenson  47,12.462222,37.712778,
Ethiopia,Early Ethiopia_Gondar,Gondar,Bergida,,Monastery,Crummey,12.212358,37.293802,
Ethiopia,Early Ethiopia_Gondar,Gondar,Chenker,,convent here; Kaffa educated here,Rubenson 28,12.316667,37.266667,
Ethiopia,Early Ethiopia_Gondar,Gondar,Cherqos,,church and monestery,Crummey,11.896713,37.494987,
Ethiopia,Early Ethiopia_Gondar,Gondar,Dabat,,important market center,Encyclopedia v. 2 4,12.98162073,37.76449382,
Ethiopia,Early Ethiopia_Gondar,Gondar,Dabra Berhan Sellase,,,,12.616667,37.483333,
Ethiopia,Early Ethiopia_Gondar,Gondar,Debre Sina,,Church here,Crummey,12.242356,37.30208,
Ethiopia,Early Ethiopia_Gondar,Gondar,Fenja,,important political center; Dejazmach's residence here in early 1800s,Rubenson 20,12.45,37.283333,
Ethiopia,Early Ethiopia_Gondar,Gondar,Firka,,important stop on Gondar-Ifag road,Pankhurst 1968a 28,12.2,37.65,?
Ethiopia,Early Ethiopia_Gondar,Gondar,Gondar,,traditional capital,Zewde 21,12.6,37.466667,
Ethiopia,Early Ethiopia_Gondar,Gondar,Ifag,,commercial crossroads,Pankhurst 1968a 28,12.083333,37.716667,
Ethiopia,Early Ethiopia_Gondar,Gondar,Mandaba,,Monestery,Crummey,12.201319,37.278569,
Ethiopia,Early Ethiopia_Gondar,Gondar,Narga Sellassie,,church here,Lindahl data,11.91567,37.24436,
Ethiopia,Early Ethiopia_Gondar,Gondar,T'adda,,Church here,Crummey 165,12.5,37.5,
Ethiopia,Early Ethiopia_Gondar,Gondar,Zar Amba,Gur Amba,customs post here,Pankhurst 1968a 29,12.366667,37.366667,
Ethiopia,Early Ethiopia_Gondar,Miesha,Dengelber,,key transit point,Blundell 205,11.95,37,
