Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Early Ethiopia_Tigre,Tigre,Abbi Addi,,customs post here,Pankhurst 1968a 30,13.560833,38.973889,
Ethiopia,Early Ethiopia_Tigre,Tigre,Add Igrat,,Important market,"Ferret and Galiner 1847, 47",14.276944,39.460833,
Ethiopia,Early Ethiopia_Tigre,Tigre,Adigrat Ruppell,,customs post here,Pankhurst 1968a 27,14.276944,39.460833,
Ethiopia,Early Ethiopia_Tigre,Tigre,Adoua,,customs post here,"Ferret and Galiner 1847, 411",14.163471,38.899237,
Ethiopia,Early Ethiopia_Tigre,Tigre,Agora,,customs post here,Pankhurst 1968a 27,13.342828,39.010744,
Ethiopia,Early Ethiopia_Tigre,Tigre,Agula Kidana-Meherat,,endowed church here,Tegnene 215,13.693056,39.593915,
Ethiopia,Early Ethiopia_Tigre,Tigre,Akkala Guzay,,restive province in Tigre,Encyclopedai Aethiopia 167,14.85256427,39.36684867,approximate; placed center ad Addi Qayyih
Ethiopia,Early Ethiopia_Tigre,Tigre,Aksum,,customs post here,Pankhurst 1968a 30,14.124482,38.724442,
Ethiopia,Early Ethiopia_Tigre,Tigre,Alage,,customs post here,Pankhurst 1968a 30,12.936944,39.516111,
Ethiopia,Early Ethiopia_Tigre,Tigre,Antalo,,market here; capital Enderta,Pankhurst 1968a 23,13.317132,39.458496,
Ethiopia,Early Ethiopia_Tigre,Tigre,Asbi,,taxes on salt collected here,Pankhurst towns 232,13.875208,39.73785,
Ethiopia,Early Ethiopia_Tigre,Tigre,Bet Negus,,customs post here,Pankhurst 1968a 27,13.950619,39.226418,
Ethiopia,Early Ethiopia_Tigre,Tigre,Cankar Takla Haymanot,,Monestary ,Crummey 194,14.089727,38.975292,
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabarek,,major commercial center with tax collector appointed,Pankhurst 1968a 21,13.156111,37.898056,
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabra Damo,,monastery,Lindahl Data,14.366667,39.283333,
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabra Demah,,Monestary ,Encyclopaedia Aethiopica v. 2 20,14.91861874,38.35127311,approximate
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabra Endreyas,,Monestary ,Encyclopaedia Aethiopica v. 2 20,15.14471269,38.78626868,
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabra Maryam,,Monestary ,Encyclopaedia Aethiopica v. 2 20,14.64389,38.37,
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabra Seyon,,Monestary ,Encyclopaedia Aethiopica v. 2 43,13.85939995,39.42969863,
Ethiopia,Early Ethiopia_Tigre,Tigre,Dabra Taamina,,Monestary ,Encyclopaedia Aethiopica v. 2 48,13.66392034,39.00912297,approximate
Ethiopia,Early Ethiopia_Tigre,Tigre,Debbek,,church here,Lindahl Data,13.527878,39.07608,
Ethiopia,Early Ethiopia_Tigre,Tigre,Debra Abba,,monastery here,Lindahl Data,13.866667,37.983333,
Ethiopia,Early Ethiopia_Tigre,Tigre,Debra Abrantant,,Monestary ,Encyclopaedia Aethiopica v. 2 8,13.53333,38.03333,approximate
