Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Senegal,Fouladou,,Soboulde,,,,13.165375,-15.093757,
Senegal,Fouladou,,Bogel,,village created by lieutenetnt,Fanchette 28,12.81417,-15.08639,
Senegal,Fouladou,,Sibi Karanto,,village created by lieutenetnt,Fanchette 28,12.71194,-15.06861,
Senegal,Fouladou,,Ndorna,,Alpha Molo's capital,,13.16667,-15.03333,
Senegal,Fouladou,,Sare Kediang Tobo,,,,13.02228,-14.95325,
Senegal,Fouladou,,Bantankuntu,,village created by lieutenetnt,Fanchette 28,12.76667,-14.95,
Senegal,Fouladou,,Pata,,general here,hawkins 218,13.43333,-14.95,
Senegal,Fouladou,,Sanka,,village created by lieutenetnt,Fanchette 28,12.68333,-14.93333,
Senegal,Fouladou,,Bodeyel Abdul,,village created by lieutenetnt,Fanchette 28,12.81667,-14.85,
Senegal,Fouladou,,hamdallaye moussa molo,,Musa Molo's capital,,13.15464,-14.8451,
Senegal,Fouladou,,Dandou,,Alpha Molo burial place,Ngaide,12.73333,-14.8,
Guinea-Bissau,Fouladou,,Panabo,,capital of Sankolla captured in 1887,hawkins 228,12.616667,-14.566667,
Senegal,Fouladou,,Korop,,general here,hawkins 218,13.13333,-14.45,
Senegal,Fouladou,,Sare Dembayel,,village created by lieutenetnt,Fanchette 28,12.8,-14.35,
Guinea-Bissau,Fouladou,,Koyada/Coaida,,,,12.316667,-14.25,
Senegal,Fouladou,,Kaone,,chief here,Girard 307,12.73333,-14.25,
Guinea-Bissau,Fouladou,,Geba,,market here,Hawkins 221,12.28,-14.222222,?
Guinea-Bissau,Fouladou,,Kansala,,rival capital conquerd by Molo in 1880s,Hawkins 153,12.533333,-14.2,
Senegal,Fouladou,,Velingara,,,,13.15,-14.11667,
Senegal,Fouladou,,Kandiaye,,chief here,Girard 307,12.96667,-14.03333,
Senegal,Fouladou,,Bonconton,,,,13.03333,-13.93333,
Senegal,Fouladou,,Monting,pres de Bonkonton,chief here,Girard 307,12.96667,-13.91667,
Senegal,Fouladou,,Manda,,chief here,Girard 307,13.25,-13.88333,
Guinea-Bissau,Fouladou,,Kanelifa/kankelifa,,rival capital conquerd by Molo in 1880s,Hawkins 258,12.583333,-13.85,
Senegal,Fouladou,,Sinthiang Sourieul,Souriel?,chief here,Girard 307,13.05,-13.76667,
