Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Guinea,Fouta Djallon_Sud,Koula,,city built by rulers in Labe,"Balde, 1995, p. 36",10.066667,-11.75
Guinea,Fouta Djallon_Sud,Kaba,,,,10.136951,-11.66222
Guinea,Fouta Djallon_Sud,Bokeeta,,0,Diallo 1972 map 3,10.270533,-11.40149
Guinea,Fouta Djallon_Sud,Teliko,,important village in Foutanke heartland,Diallo 1972 map 3,10.342401,-12.098253
Guinea,Fouta Djallon_Sud,Kimbeli,,Important Malinke village,"Bah 2008, p. 34",10.369544,-12.096099
Guinea,Fouta Djallon_Sud,Biilima,,,Diallo 1972 map 3,10.383333,-12.25
Guinea,Fouta Djallon_Sud,Kiniyampili,,important village in Foutanke heartland,Diallo 1972 map 3,10.466667,-11.85
Guinea,Fouta Djallon_Sud,Haarunaya,,important village in Foutanke heartland,Diallo 1972 map 3,10.512229,-11.737261
Guinea,Fouta Djallon_Sud,Daara,,sleeping residence' of king,"Balde 1995, p. 35",10.59719,-11.879442
Guinea,Fouta Djallon_Sud,Boulliwel,,Timbobes Clan Residence,"Bah 2008, p. 33",10.611188,-12.18882
Guinea,Fouta Djallon_Sud,Diolake Timbo,,NGueriNyabe Clan Residence,"Bah 2008, p. 32",10.615516,-11.858705
Guinea,Fouta Djallon_Sud,Timbo,,Capital; province head,Diallo 1972 p. 180,10.633333,-11.833333
Guinea,Fouta Djallon_Sud,Sankarelaa,,Along route between Timbo and Fugumba; important village in Buriya province,"Diallo 1972, p. 121",10.640831,-12.849997
Guinea,Fouta Djallon_Sud,Dubbel,,Along route between Timbo and Fugumba,"Diallo 1972, p. 121",10.666667,-11.916667
Guinea,Fouta Djallon_Sud,Sokotoro,,important village in Foutanke heartland,Diallo 1972 map 3,10.670591,-11.749706
Guinea,Fouta Djallon_Sud,Dalaba,,important village in Foutanke heartland,Diallo 1972 map 3,10.69059,-12.249274
Guinea,Fouta Djallon_Sud,Buriya,,Along route between Timbo and Fugumba; province head,"Diallo 1972, p. 121",10.711335,-11.982085
Guinea,Fouta Djallon_Sud,Pooredaaka,,Along route between Timbo and Fugumba,"Diallo 1972, p. 121",10.733333,-12.066667
Guinea,Fouta Djallon_Sud,Sare Seni,,,,10.733333,-12.933333
Guinea,Fouta Djallon_Sud,Niagara,,Timbobes Clan Residence,"Bah 2008, p. 33",10.741924,-11.800628
Guinea,Fouta Djallon_Sud,Kala,,important village in Foutanke heartland,Diallo 1972 map 3,10.75,-12.25
Guinea,Fouta Djallon_Sud,Teliwel,,Yllabes Clan Residence,"Bah 2008, p. 31",10.752229,-13.206965
Guinea,Fouta Djallon_Sud,Gongore Timbo,,Timbobes Clan Residence,"Bah 2008, p. 33",10.766667,-11.95
Guinea,Fouta Djallon_Sud,Pita,,meeting point,Harris 1965 p. 23,10.816667,-12.7
Guinea,Fouta Djallon_Sud,Kebou,???,Pateyabe Clan Residence,"Bah 2008, p. 32",10.844531,-13.285565
Guinea,Fouta Djallon_Sud,Kourou Maninka,,Important Malinke village,"Bah 2008, p. 34",10.857741,-12.041435
Guinea,Fouta Djallon_Sud,Fugumba,,Holy City; site of federal assembly; province head,Diallo 1972 p. 43,10.870078,-12.112799
Guinea,Fouta Djallon_Sud,Bohel,,Ndouyebes Clan residence,"Bah 2008, p. 30",10.911021,-11.831054
Guinea,Fouta Djallon_Sud,Bambaya,,,Diallo 1972 map 3,10.916667,-13.683333
Guinea,Fouta Djallon_Sud,Maasi,,important village in Foutanke heartland,Diallo 1972 map 3,10.916667,-12.433333
Guinea,Fouta Djallon_Sud,Konsotami,,,Diallo 1972 map 3,10.933333,-13.5
Guinea,Fouta Djallon_Sud,Bomboli,,important village in Foutanke heartland,Diallo 1972 map 3,10.945318,-12.368358
Guinea,Fouta Djallon_Sud,Koussi,,,,10.95,-12.933333
Guinea,Fouta Djallon_Sud,Sokoto,,sleeping residence' of king,"Balde 1995, p. 35",10.953324,-11.547465
Guinea,Fouta Djallon_Sud,Kebaali,,province head,Diallo 1972 p. 180,10.956947,-12.198551
Guinea,Fouta Djallon_Sud,Loope,,,Diallo 1972 map 3,10.966667,-14.133333
Guinea,Fouta Djallon_Sud,Woosu,,,Diallo 1972 map 3,11.00101,-13.957055
Guinea,Fouta Djallon_Sud,Bodie,,Koulounnabes Clan Residence,"Bah 2008, p. 30",11.020859,-12.049582
Guinea,Fouta Djallon_Sud,Bowes Gueme,,Yllabes Clan Residence,"Bah 2008, p. 31",11.059919,-13.250782
Guinea,Fouta Djallon_Sud,Kula,,important village in Foutanke heartland,Diallo 1972 map 3,11.066667,-12.783333
Guinea,Fouta Djallon_Sud,Sintali,,Ndouyebes Clan Residence,"Bah 2008, p. 30",11.092879,-12.426715
Guinea,Fouta Djallon_Sud,Geme,,,Diallo 1972 map 3,11.107805,-13.513034
Guinea,Fouta Djallon_Sud,Batinel,,important village in Foutanke heartland,Diallo 1972 map 3,11.11074,-12.300792
Guinea,Fouta Djallon_Sud,Timbi-Tunni,,province head,Diallo 1972 p. 180,11.116667,-12.483333
Guinea,Fouta Djallon_Sud,Sefoure,,Koulounnabes Clan Residence,"Bah 2008, p. 30",11.133333,-12.066667
Guinea,Fouta Djallon_Sud,Kollangji,,important village in Foutanke heartland,Diallo 1972 map 3,11.138519,-11.828385
Guinea,Fouta Djallon_Sud,Kankalabe,,province head,Diallo 1972 p. 180,11.148276,-11.999084
Guinea,Fouta Djallon_Sud,Hansangnere,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",11.183333,-12.483333
Guinea,Fouta Djallon_Sud,Timbi Madina,,important village in Foutanke heartland,Diallo 1972 map 3,11.203688,-12.543358
Guinea,Fouta Djallon_Sud,Koyin,,province head,Diallo 1972 p. 180,11.216667,-11.816667
Guinea,Fouta Djallon_Sud,Bagnan,,Khalidouyabes Clan Residence,"Bah 2008, p. 30",11.233333,-12.483333
Guinea,Fouta Djallon_Sud,Timbi Diari,,NGueriNyabe Clan Residence,"Bah 2008, p. 32",11.246974,-12.529009
