Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Garoua,Boulgao,,,Mohammadou 1977,9.440936,13.469432
Cameroon,Garoua,Garoua,,Capital,Mohammadou 1977,9.301425,13.397707
Cameroon,Garoua,Garoua-Winde,,first fulani implantation,Bassaro 143,9.267507,13.342736
Cameroon,Garoua,Laynde,,fortified village,Bassoro 138,9.343273,13.419161
Cameroon,Garoua,Nakong,,,Mohammadou 1977,9.30973,13.255155
Cameroon,Garoua,Nassarawo,,fortified village,Bassoro 138,9.36217,13.440885
Cameroon,Garoua,Njoumassi,,,Mohammadou 1977,9.402556,13.378922
Cameroon,Garoua,Wouro Ardo Ray,,Fulani prince here,Bassoro 149,9.255339,13.274846
Cameroon,Garoua,Wouro Laynde,,major market,Bassoro 148,9.25,13.2
Cameroon,Garoua,Wouro-Labbo,,fortified village,Bassoro 143,9.297526,13.347229
