Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Kotoko,,Afade,,City State/Principalite,Barkinda p. 170,12.219793,14.654289
Cameroon,Kotoko,,Amsaka,,,Barkinda p. 170,12.49343,14.729453
Cameroon,Kotoko,,Blé,Bélé,Secondary City,Lebeuf p. 176,11.47917,14.796791
Cameroon,Kotoko,,Bodo,,City State/Principalite,Lebouf p. 95,12.36013,14.460038
Cameroon,Kotoko,,Douvoul,,City State/Principalite,Lebouf p. 95,11.481576,15.106124
Cameroon,Kotoko,,Dro,Derotte,,Lebouf p. 95,12.27351202,14.90147382
Cameroon,Kotoko,,Gadouba,,,Lebouf p. 95,11.364731,14.996103
Cameroon,Kotoko,,Gana,,,Lebeuf p. 176,11.903611,14.635556
Cameroon,Kotoko,,Garle,,Secondary City,Lebouf p. 95,11.33113,14.970539
Cameroon,Kotoko,,Gawi,,City State/Principalite,Lebeuf p. 71,12.175562,15.146616
Chad,Kotoko,,Gofa,,Subterritory of Logone-Birni,Lebouf p. 95,11.414625,15.069948
Cameroon,Kotoko,,Goh,,Secondary City,Lebouf p. 95,11.492633,14.995545
Cameroon,Kotoko,,Goulfeil,,City State/Principalite,Lebouf p. 95,12.3849985,14.8978729
Cameroon,Kotoko,,Goulouadouma,,Secondary City,Lebouf p. 95,11.502781,14.726794
Cameroon,Kotoko,,Hinale,,,Barkinda p. 170,11.584084,14.991706
Cameroon,Kotoko,,Houlouf,,City State/Principalite,Lebouf p. 95,12.036022,14.944492
Chad,Kotoko,,Houlzi,,Subterritory of Logone-Birni,Lebeuf p. 176,11.61296,15.214236
Cameroon,Kotoko,,Inalé,,Secondary City,Lebouf p. 95,11.584084,14.991706
Cameroon,Kotoko,,Ivié,,,Lebouf p. 95,11.417452,15.055558
Cameroon,Kotoko,,Kabé,,City State/Principalite,Lebouf p. 95,11.99653581,15.07463907
Cameroon,Kotoko,,Kala-Kafra,,City State/Principalite,Lebouf p. 95,12.089979,14.864488
Cameroon,Kotoko,,Kaza,,,Barkinda p. 170,12.007825,14.20909
Cameroon,Kotoko,,Kazere,,,Lebouf p. 95,11.241928,15.038682
Cameroon,Kotoko,,Koussiri,Kousseri,City State/Principalite,Barkinda p. 170,12.076892,15.030627
Cameroon,Kotoko,,Kraska,,,Lebouf p. 95,11.136345,15.119875
Cameroon,Kotoko,,Logone Gana,,City State/Principalite,Lebouf p. 95,11.556729,15.147876
Cameroon,Kotoko,,Logone-Birni,,City State/Principalite,Barkinda p. 170,11.78303299,15.10212043
Cameroon,Kotoko,,Mailem,,,Lebouf p. 95,12.575346,14.454832
Cameroon,Kotoko,,Makari,,City State/Principalite,Barkinda p. 170,12.473818,14.485897
Cameroon,Kotoko,,Maladi,,City State/Principalite,Lebeuf p. 72,12.17311,14.836428
Cameroon,Kotoko,,Maltam,,City State/Principalite,Lebouf p. 73,12.244106,14.891869
Cameroon,Kotoko,,Mara,,City State/Principalite,Lebouf p. 95,11.617075,15.084932
Cameroon,Kotoko,,Matke,,,Lebouf p. 95,11.15959,15.039664
Cameroon,Kotoko,,Mazra,,Secondary City,Mohamadou p. 188,11.39126,14.939029
Nigeria,Kotoko,,Ndoufou,,City State/Principalite,Lebouf p. 95,12.218205,14.307689
Cameroon,Kotoko,,Ndouroula,,Secondary City,Lebouf p. 95,11.710276,14.592711
Nigeria,Kotoko,,Ngala,,,Barkinda p. 170,12.340527,14.186705
Cameroon,Kotoko,,Ngamé,,Secondary City,Lebeuf p. 98,11.713056,14.71
Cameroon,Kotoko,,Ngodeni,,Secondary City,Lebeuf p. 176,11.399074,15.006435
Cameroon,Kotoko,,Ngouache,,Secondary City,Lebeuf p. 176,11.486403,14.955685
Cameroon,Kotoko,,Nkarse,,,Lebouf p. 95,11.361425,15.053251
Chad,Kotoko,,Ouhalam,,Secondary City,Lebouf p. 95,11.33731029,15.06980682
Chad,Kotoko,,Oulia,,,Lebouf p. 95,12.260481,14.948537
Nigeria,Kotoko,,Rann,,City State/Principalite,Lebouf p. 95,12.269375,14.465521
Cameroon,Kotoko,,Rouzoumé,,Secondary City,Lebouf p. 95,11.645579,14.763288
Cameroon,Kotoko,,Sarassara,,,Lebouf p. 95,11.170961,14.985963
Cameroon,Kotoko,,Tchidi,Sede,,Mohamadou p. 188,11.19246,14.838258
Cameroon,Kotoko,,Tsi,,Secondary City,Lebouf p. 95,11.534722,14.909722
Cameroon,Kotoko,,Waza,Ouaza,City State/Principalite,Barkinda p. 170,11.398794,14.570667
Cameroon,Kotoko,,Woulki,,City State/Principalite,Lebouf p. 95,12.476067,14.639861
Cameroon,Kotoko,,Zegague,,,Lebeuf p. 98,11.679405,14.649703
Cameroon,Kotoko,,Zeila,,,Lebouf p. 95,11.339847,14.869344
Cameroon,Kotoko,,Zemadé,,,Lebouf p. 95,11.652244,15.073542
Cameroon,Kotoko,,Zgue,,Secondary City,Lebouf p. 95,11.788674,14.630991
Cameroon,Kotoko,,Ziguagué,,Secondary City,Lebouf p. 95,11.679405,14.649703
Cameroon,Kotoko,,Zinna,,Secondary City,Barkinda p. 170,11.262346,14.965293
