Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Congo,Loango,Buali/Boari,currently called Diosso,Capital,Martin p. 10,-4.651944,11.8125
Congo,Loango,Bunsi,located in Ngoyo,Most important shrine along coast,Volvaka 68,-4.84083,11.91389
Congo,Loango,Buvadji ,,capital of Mbanda Province,http://www.royaumeloango.org/images/stories/Historique_Loango.pdf,-4.766667,11.983333
Congo,Loango,Kaye,,,,-4.431667,11.696111
Congo,Loango,Kenga,,,,-4.366944,11.692222
Congo,Loango,Lambié,,Pili province near hear,Martin,-4.105833,12.166667
Congo,Loango,Loangeli/Loangiri,Placed near Pt Noire - no longer in existence,Burial place of kings,Martin p. 11,-4.756111,11.857778
Congo,Loango,Mbuku,Mboukou,Province hear,http://www.royaumeloango.org/images/stories/Historique_Loango.pdf,-4.533333,12.1
Congo,Loango,Mpili,,Province head,,-4.563611,11.828333
Congo,Loango,Sekié,,Pili province near hear,Martin,-4.115278,11.900833
Congo,Loango,Tchilongu,Tchilunge,Province hear,http://www.royaumeloango.org/images/stories/Historique_Loango.pdf,-4.184722,11.411944
Congo,Loango,Tchinkanu,,Province hear,http://www.royaumeloango.org/images/stories/Historique_Loango.pdf,-4.503611,12.081667
Congo,Loango,Diangala,,Province hear,http://www.royaumeloango.org/images/stories/Historique_Loango.pdf,-4.28333,12.63333
Congo,Loango,Mayumba,,most important town of northern territories,Martin 16,-3.41667,10.65
Congo,Loango,Banda,,importatn slave trading center in 19th c,Martin 143,-3.83029,11.03857
