Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Zambia,Lozi,Seoma,,Chiefs posted here to manage canoe portage,Betrand 168,-16.603941,23.503302
Zambia,Lozi,Ngundu,near Naliele,Tomb of Ngombala,Jalla 324,-16.372625,23.371178
Zambia,Lozi,Kaunga,,Lwanika places nephew here to manage outlying Mashi Province in 1884,Mainga 128,-16.133333,22.933333
Zambia,Lozi,Senanga,,Major settlement in southern Lozi,Caplan,-16.115338,23.296882
Zambia,Lozi,Kangongo,,Induna appointed here by Lewanika (1870s),Mainga 239,-15.816667,22.666667
Zambia,Lozi,Namwenda,,Capital of Yubia,Jalla 325,-15.712555,23.117081
Zambia,Lozi,Nalolo,,Southern Capital; home in 1880s to king's sister,Caplan 9,-15.54116911,23.11411679
Zambia,Lozi,Loukona,Lukona,Liyoka mwene chief's court,van Binsbergen 484,-15.399169,22.857345
Zambia,Lozi,Liandwa,,Lewanika resides here in1877,,-15.35693543,23.00210401
Zambia,Lozi,Lilundu,,Tomb of Mulambwa here,,-15.278394,23.058277
Zambia,Lozi,Mongu,,Likambi mwene chief's court,van Binsbergen 484,-15.270625,23.144877
Zambia,Lozi,Lealui,,Dry Season residence of the King,Caplan 37,-15.224917,23.019796
Zambia,Lozi,Lieneno,,Tomb of Mwana-wina,Jalla 325,-15.216667,22.966667
Zambia,Lozi,Inguwe,,Lewanika's burial site; Mbanikelako Burial Site,,-15.196346,22.953933
Zambia,Lozi,Kasika,Kashiko; kasiku,Tomb of Mwana-Nyanda here,Jalla 325,-15.142963,23.220546
Zambia,Lozi,Limulunga,,Rainy season residence of King,Caplan 37,-15.131713,23.152647
Zambia,Lozi,Makono Village,,Putative Mbuyuwamwambwa Burial Site,,-15.125135,22.945633
Zambia,Lozi,Ikatulamwa ,,Burial place of Mboo Muyundu,,-15.066667,22.933333
Zambia,Lozi,Nangulowe,,Sepopa resides here for two years in early 1870s,Jalla 328,-15.048225,22.971491
Zambia,Lozi,Kalabo,,Mvubu mwene chief's court,van Binsbergen 485,-14.970045,22.681381
Zambia,Lozi,Libonda,,Capital in 1870s; previously home of Sibitwane's wives; Lwanika places younger sister here to manage outlying Kalabo Province in 1884,Caplan 32,-14.891499,22.962092
Zambia,Lozi,Likapai,,Village of adopted son of Sipopa,Mainga 116,-14.833333,23.016667
Zambia,Lozi,Lueti,,Mataa's village,Mainga 112,-14.700637,22.756041
Zambia,Lozi,Lukulu,,Indunu ,,-14.408547,23.259857
