Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Mali,Macina_Sud,Soala,,,"Ba and Daget, p. 203",13.8,-4.533333
Mali,Macina_Sud,Poromani,,Capital of Fakala Province,"Sanankoua, p.68",13.83446,-4.375543
Mali,Macina_Sud,Taparandougou,,,AF//354,13.8654,-4.1533
Mali,Macina_Sud,Djenne,,Capital of Jenneri Province; major trading center; Site of garrison,"Ba and Daget, p. 70; Sanankoua, p. 67",13.9045,-4.5599
Mali,Macina_Sud,Tye,,,Djata p. xii,13.9331,-3.7732
Mali,Macina_Sud,Kotomou,,,"Ba and Daget, p. 94",13.946,-4.914
Mali,Macina_Sud,Kaka,,site of major market,"Ba and Daget, p. 80",14.00756026,-4.259479623
Mali,Macina_Sud,Samay,,,"Ba and Daget, p. 94",14.007801,-4.738109
Mali,Macina_Sud,Sofara,,,"Ba and Daget, p. xii",14.016667,-4.233333
Mali,Macina_Sud,Nia,,,"Ba and Daget, p. 161",14.026805,-4.112041
Mali,Macina_Sud,Gundaka,,Capitla of Kunaari province,"Sanankoua, p. 68",14.066031,-4.181182
Mali,Macina_Sud,Dogo,,,AF//354,14.1372,-3.6951
Mali,Macina_Sud,Diafrabe,,New villages in Maasina Province,"Sanankoua, p. 66; AF//305",14.14263641,-5.015753068
Mali,Macina_Sud,Tilembeya,,New villages in Maasina Province,"Sanankoua, p. 66",14.15162334,-4.989779285
Mali,Macina_Sud,Poro,,,AF//305,14.203076,-4.540705
Mali,Macina_Sud,Diongouni,,,AF//305,14.208886,-4.735852
Mali,Macina_Sud,Alakanda,,,AF//354,14.219698,-3.609287
Mali,Macina_Sud,Sot,,,Djata p. xii,14.22813,-4.278387
Mali,Macina_Sud,Bolimba,,,AF//354,14.241298,-3.880687
Mali,Macina_Sud,Digani,,,AF//305,14.288071,-4.581685
Mali,Macina_Sud,Sare Dina,,,AF//305,14.295985,-4.405481
Mali,Macina_Sud,Hamdallahi,,,Djata p. xii,14.32815,-4.100507
Mali,Macina_Sud,Makou,,,AF//354,14.342198,-3.925187
Mali,Macina_Sud,Bandiagara,,,de Bruijn and Van Dijk p. 220,14.347998,-3.608787
Mali,Macina_Sud,Dya,,,Djata p. xii,14.348652,-4.961923
Mali,Macina_Sud,Lardeballi,,,AF//305,14.354147,-4.400096
Mali,Macina_Sud,Sufurlay,,,"Sanankoua, prefix",14.404807,-4.085367
Mali,Macina_Sud,KoriKori,,,AF//354,14.405998,-3.749787
Mali,Macina_Sud,Boumbou,,,AF//354,14.434698,-3.232287
Mali,Macina_Sud,Ninga,,,AF//305,14.446291,-4.729081
Mali,Macina_Sud,Mopti,,,Djata p. xii,14.489094,-4.192827
Mali,Macina_Sud,Goundaka,,,AF//354,14.499798,-3.946487
Mali,Macina_Sud,Nandoli,,,AF//354,14.501098,-3.464687
Mali,Macina_Sud,Sevare,,,"Sanankoua, prefix",14.529728,-4.092226
Mali,Macina_Sud,Diankabo,,,AF//354,14.584398,-3.081287
Mali,Macina_Sud,Koundiouli,,,AF//354,14.594998,-3.873887
Mali,Macina_Sud,Tongorongo,,,AF//305,14.597761,-4.169518
Mali,Macina_Sud,Booni,,Poste de surveillance,de Bruijn and Van Dijk p. 220,15.076582,-2.219758
Mali,Macina_Sud,Loro,,,de Bruijn and Van Dijk p. 220,15.087389,-2.173012
Mali,Macina_Sud,Bubani Kani,,,de Bruijn and Van Dijk p. 220,15.358102,-1.88233
Mali,Macina_Sud,Hombori/Humbori,,,Djata p. xii,15.278981,-1.700373
Mali,Macina_Sud,De,,,AF//354,14.776902,-3.257807
Mali,Macina_Sud,Bargue,,,AF//354,14.791198,-3.061987
Mali,Macina_Sud,Douentza,,Site of garrison,"Ba and Daget, p. 70",15.001554,-2.949781
Mali,Macina_Sud,Douma,,,de Bruijn and Van Dijk p. 220,14.915968,-2.854536
Mali,Macina_Sud,Kikira,,,"Ba and Daget, p. 203",15.210789,-2.748255
Mali,Macina_Sud,Boumban,,,de Bruijn and Van Dijk p. 220,15.088551,-2.630839
Mali,Macina_Sud,Nokara,,,de Bruijn and Van Dijk p. 220,15.176295,-2.395883
