Country,Polity,Marker,Village Role,Source,YCOORD,XCOORD,
Malawi,Undi,Kalolo,chief,Phiri 63,-14.00991,33.39099,
Mozambique,Undi,Chifombo,chief ,Langworthy 224,-14.795833,31.751111,
Mozambique,Undi,Chifuka,chief; king has perpetual brother in law relationship,McFarren 94,-15.366667,31.133333,
Mozambique,Undi,Chimwala Phiri,territorial chief,McFarren 90,-14.658056,32.188611,
Mozambique,Undi,Chitekwele Phiri,territorial chief,McFarren 90,-14.847222,33.413889,approximate based on map
Mozambique,Undi,Kachambo,chief ,Langworthy 224,-15.646667,31.909167,
Zamba,Undi,Kalindawalo,chief; king has perpetual brother in law relationship,McFarren 94,-14.337008,31.410672,
Zambia,Undi,Kaluanu,,Langworthy Map 6,-14.283333,31.833333,
Mozambique,Undi,Kangulu,territorial chief,McFarren 90,-15.393056,33.632778,
Zambia,Undi,Katete,chief,Langworthy Map 3,-14.099829,32.077208,
Zambia,Undi,Kawaza,,Langworthy Map 6,-14.252098,32.166968,
Mozambique,Undi,Likungwe,,Langworthy Map 6,-15.519444,33.971667,approximate based on map
Mozambique,Undi,Maano (Msitu Mano),Capital,McFarren 87,-14.7925,32.836111,
Mozambique,Undi,Makewana,,Langworthy Map 6,-14.53333,33.65,approximate based on map
Mozambique,Undi,Mwangala,chief here,Langworthy Map 6,-14.21957,32.42669,
Malawi,Undi,Muchena,Biwi chief here,Langworthy 192,-15.68222,33.80556,
Malawi,Undi,Mwanjawanthu,chief,Langworthy 226,-14.63103,31.40935,
Malawi,Undi,Ndake,chief,Langworthy 226,-14.58333,30.9,
Malawi,Undi,Nyangje,chief,Langworthy 226,-14.4,31.8,
Malawi,Undi,Sandwe,chief,Langworthy 226,-13.80794,31.57889,
Malawi,Undi,Mano,"Portuguese mine in Undi's territory, taxes here",Langworthy 265,-14.36667,32.92556,approximate
Malawi,Undi,Missale,"Portuguese mine in Undi's territory, taxes here",Langworthy 266,-14.10369,32.99785,
