Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Adaba,,Ketema,Braukamper 290,7,39.4,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Assalla (Asela),,Ketema,Gnamo 276,7.955950354,39.12122424,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Azule,,Ketema,Gnamo 219,7.932353,39.934277,approximate
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Caangee,just east of Ticho,garrison,Braukamper 290,7.807662496,39.51637858,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Change,,Ketema,file:///Users/Martha/Downloads/The_question_of_Oromia_Euro-E.pdf,8.16667,39.43333,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Dodola,,Ketema,Braukamper 290,6.98333,39.18333,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Endato,,Ketema,Gnamo 219,7.566667,39.9,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Gadamso,,garrison,Braukamper 290,8.35554,39.18034,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Heexosa,,garrison,Braukamper 290,8.13333,39.23333,approximate
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Kofale,,garrison,Braukamper 290,7.06667,38.78333,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Kurga,,Ketema,Pankhurst 192,8.13333,40.56667,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Robe,,trading center,Braukamper 294,7.12294,40.00412,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Sere,,Ketema,Pankhurst 193,8.31667,39.48333,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Seru,,Ketema,"Gnamo 219, 142; Gnamo 276; file:///Users/Martha/Downloads/The_question_of_Oromia_Euro-E.pdf",7.66667,40.2,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Sire,,Ketema,Gnamo 177,8.28333,39.45,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Ticho,,Ketema,Gnamo 276; file:///Users/Martha/Downloads/The_question_of_Oromia_Euro-E.pdf,7.8,39.43333,
Ethiopia,Menelik's Ethiopia_Arsi,Bale,Ginir,,Ketema,Deherain 1914,7.13952,40.71083,
Ethiopia,Menelik's Ethiopia_Arsi,Bale,Goba,,Ketema,Deherain 1914,7.01667,39.98333,
Ethiopia,Menelik's Ethiopia_Arsi,Bale,Goro,,Ketema,Braukamper 265,6.98333,40.5,
Ethiopia,Menelik's Ethiopia_Arsi,Bale,Guranda,,Ketema,Gnamo 161,7.45,40.25,
Ethiopia,Menelik's Ethiopia_Arsi,Bale,Shirka,,governor here,Braukamper 264,7.58333,39.5,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Ladjo,,garrison,French article 227,7.2,39.63333,placed at mountain?
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Kolobo,,garrison,Gnamo 177,8.418701,39.52141,
Ethiopia,Menelik's Ethiopia_Arsi,Arsi,Ligaba,,garrison,Gnamo 265,8.08333,39.33333,
