Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Agere Mariam,,early garrison,McClellon 25,5.63418,38.23603,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Aleta,,Ketema,McClellon 21,6.6,38.45,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Anole,,Ketema,http://213.55.95.79/index.php/JIKDS/article/view/3768/2755,6.26667,38.55,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Arbagona,,early garrison,McClellon 17,6.68333,38.71667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Arbagona (Arbegona),,Ketema,McClellon 17,6.68333,38.71667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Avela,,early garrison,McClellon 19,6.93333,38.46667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Avela (Abela),,Ketema,McClellon 19,6.93333,38.46667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Bule,,early garrison,McClellon 24,6.3,38.41667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Burgi,,Ketema,McClellon 54 fn17,5.38333,37.93333,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Guguma,,early garrison,McClellon 15,6.98333,38.7,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Illalcha (Ilalca),,Ketema,McClellon 40,6.266978,38.424556,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Irbo Moda,,garrison,Deherain 1914,6.2,38.7,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Kavado,,early garrison,McClellon 22,6.46667,38.33333,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Kavado (Watadara),,Ketema,McClellon 22,6.46667,38.33333,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Kaveena,,early garrison,McClellon 18,6.6,38.81667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,"Luku (Laku, Leku)",,Ketema,McClellon 40,6.866667,38.45,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Melghie,,Ketema,McClennon Diss 56,6.983333,38.633333,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Shisha,,early garrison,McClellon 20,6.66667,38.5,
Ethiopia,Menelik's Ethiopia_Gedeo,Sidamo,Gubrico,,Ketema,Pankhurst 196,6.566667,38.5,
Ethiopia,Menelik's Ethiopia_Gedeo,Sidamo,Sisa,,Ketema,Pankhurst 196,6.666667,38.5,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Abera,,garrison,Deherain 1914,6.45,38.46667,
Ethiopia,Menelik's Ethiopia_Gedeo,Gedeo,Darassa,,garrison,Deherain 1914,6.4,38.46667,
