Polity,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Menelik's Ethiopia_East,,Boroma,,garrison,Deherain 1914,8.9,40.78333,
Ethiopia,Menelik's Ethiopia_East,,Galamso,,garrison,Deherain 1914,8.81667,40.51667,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Asaba Teferi,,Ketema,,9.08333,40.86667,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Belbelety,,Ketema,http://ir.haramaya.edu.et/hru/bitstream/handle/123456789/6370/fayisa.pdf?sequence=1&isAllowed=y,8.716667,40.416667,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Dadar,,Ketema,http://ir.haramaya.edu.et/hru/bitstream/handle/123456789/4777/final%20yasmin%20research.pdf?sequence=1&isAllowed=y,9.31168,41.44301,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Hardim,,Ketema,http://ir.haramaya.edu.et/hru/bitstream/handle/123456789/6370/fayisa.pdf?sequence=1&isAllowed=y,8.798818,40.429402,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Karra Qurqurra,,Ketema,http://ir.haramaya.edu.et/hru/bitstream/handle/123456789/6370/fayisa.pdf?sequence=1&isAllowed=y,8.877112,40.688001,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Qullubi,,Ketema,,9.42694,41.68306,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Qunni,,Ketema,http://ir.haramaya.edu.et/hru/bitstream/handle/123456789/6370/fayisa.pdf?sequence=1&isAllowed=y,9.02095,40.90328,
Ethiopia,Menelik's Ethiopia_East,Itu Oromo,Ubbi (Kubi?),,Ketema,http://ir.haramaya.edu.et/hru/bitstream/handle/123456789/6370/fayisa.pdf?sequence=1&isAllowed=y,9.012871,41.356824,
Ethiopia,Menelik's Ethiopia_East,Wegaden (Ogaden),Biyo Kabobo,,Ketema,,9.47,42.7025,
Ethiopia,Menelik's Ethiopia_East,Wegaden (Ogaden),Giggiga (Jigjiga),,Ketema,Pankhurst 192,9.35,42.8,
Ethiopia,Menelik's Ethiopia_East,Wegaden (Ogaden),Grawa,,Ketema,Eshete 1997,9.133056,41.838889,
Ethiopia,Menelik's Ethiopia_East,Wegaden (Ogaden),Gursum,,Ketema,Eshete 1997,9.353056,42.396944,
Ethiopia,Menelik's Ethiopia_East,Wegaden (Ogaden),Qocher,,Ketema,Eshete 1997,9.354722,43.063056,
