Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Menelik's Ethiopia_West,Leqa Naqamte,Arjo,,early garrison,,8.75,36.5,
Ethiopia,Menelik's Ethiopia_West,Leqa Naqamte,Bako,,garrison,Deherain 1914,9.13333,37.05,
Ethiopia,Menelik's Ethiopia_West,Leqa Naqamte,Bilo,,early garrison,,9.13333,37.3,
Ethiopia,Menelik's Ethiopia_West,Leqa Naqamte,Diki,,garrison,Deherain 1914,9.1,37.8,
Ethiopia,Menelik's Ethiopia_West,Shawa,Nonna-Migra,,garrison,Deherain 1914,8.83333,38.98333,?
Ethiopia,Menelik's Ethiopia_West,,Waliso,,governor here,Braukamper 254,8.53417,37.96515,
Ethiopia,Menelik's Ethiopia_West,,Soddo,,new district created here,Braukamper 254,8.7,38.38333,
Ethiopia,Menelik's Ethiopia_West,Illubabor,Gore (Gannat),,Ketema,Pankhurst 3238,8.15,35.53333,
Ethiopia,Menelik's Ethiopia_West,Illubabor,Ilaalaa,,Ketema,,8.39426,36.07965,
Ethiopia,Menelik's Ethiopia_West,Illubabor,Guidami,,Ketema,Deherain 1914,8.983941,34.61178,
