Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Ethiopia,Menelik's Ethiopia_South,,Ouba,,garrison,Deherain 1914,6.15,36.88333,
Ethiopia,Menelik's Ethiopia_South,,Sarriti,,garrison,Deherain 1914,7.06667,35.53333,
Ethiopia,Menelik's Ethiopia_South,,Oualamo,,garrison,French article 231,7.05,36.65,at mount Damota
Ethiopia,Menelik's Ethiopia_South,Illubabor,Masa,,Ketema,Ea983,7.733807,35.481248,
Ethiopia,Menelik's Ethiopia_South,Gamo,Bako,,Ketema,Deherain 1914,5.835196975,36.62961696,
Ethiopia,Menelik's Ethiopia_South,Dizi,Bero,,Ketema,EA 176,6.2589,35.267336,
Ethiopia,Menelik's Ethiopia_South,Dizi,Magi,,Ketema,EA 176,6.177363,35.584427,
Ethiopia,Menelik's Ethiopia_South,Gamo,Cenca,,Ketema,EA 707,6.25,37.566667,
Ethiopia,Menelik's Ethiopia_South,Gamo,Doca (Dosha),,Ketema,Pankhurst 194,6.466667,37.083333,
Ethiopia,Menelik's Ethiopia_South,Gamo,Gawla,,Ketema,Pankhurst 194,6.224063,36.986911,
Ethiopia,Menelik's Ethiopia_South,Gamo,Hamar Koke,,Ketema,Pankhurst 200,5.15,36.75,
Ethiopia,Menelik's Ethiopia_South,Gamo,Senegal,,Ketema,Pankhurst 195,4.73333,36.01667,
Ethiopia,Menelik's Ethiopia_South,Zala,Zala,,Ketema,Encyclopedia p. 119,6.535167421,37.24661534,
Ethiopia,Menelik's Ethiopia_South,,Djaola,,garrison,French article 233,6.433333,36.9,
Ethiopia,Menelik's Ethiopia_South,Gofa,Balta Qara,,Ketema,Gossa 147,5.869596627,37.0646849,
Ethiopia,Menelik's Ethiopia_South,Gofa,Bazza (Bonke Bezo),,Ketema,Gossa 147,6.053755707,37.33549547,
Ethiopia,Menelik's Ethiopia_South,Gofa,Bussa,,Ketema,Gossa 147,5.75,37.43333,
Ethiopia,Menelik's Ethiopia_South,Gofa,Dorze,,Ketema,Donham,6.266667,37.55,
Ethiopia,Menelik's Ethiopia_South,Gofa,Ezo,,Ketema,Pankhurst 199,6.351551616,37.60039971,
Ethiopia,Menelik's Ethiopia_South,Gofa,Goddo (Koddo),,Ketema,Pankhurst 199,6.349951858,37.5123107,
Ethiopia,Menelik's Ethiopia_South,Gofa,Gulta,,Ketema,Gossa 147,6.172749446,37.49518484,
Ethiopia,Menelik's Ethiopia_South,Gofa,Kamba,,Ketema,Donham,6.15,37.2,
Ethiopia,Menelik's Ethiopia_South,Majangir,Yakki,,Ketema,Getahun 16,7.2,35.35,
