Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes,
Madagascar,Merina_Centre,Quasi-direct control,Fenerive,,Principle port,Deschamp 208,-17.381885,49.409045,,
Madagascar,Merina_Centre,Quasi-direct control,Foulpointe,,Claimed by Radama in 1820s,Dechamps 158,-17.677806,49.514591,,
Madagascar,Merina_Centre,Quasi-direct control,Mahanoro,,Commerical center in Betsimaraka areas,Cole 40,-19.9,48.8,,
Madagascar,Merina_Centre,Quasi-direct control,Ranomafana,,Garrison,Campbell 164,-18.959824,48.845963,,
Madagascar,Merina_Centre,Quasi-direct control,Vatomandry,,Principle port,Deschamp 208,-19.327885,48.981537,,
Madagascar,Merina_Centre,Quasi-direct control,Andevoranto,,Garrison,Campbell 165,-18.953294,49.109413,,
Madagascar,Merina_Centre,Quasi-direct control,Ivondro,,Claimed by Radama in 1820s,Dechamps 158,-18.238933,49.366374,,
Madagascar,Merina_Centre,Quasi-direct control,Toamasina,,Main port on east controlled by Merina,Cambpell 9,-18.151349,49.408139,,
Madagascar,Merina_Centre,Quasi-direct control,Moramanga,,Provincial capital,Deschamps 192,-18.947955,48.229708,,
Madagascar,Merina_Centre,Quasi-direct control,Mahavelona,,European plantation  sponsored by king,Campbell 100,-19.603736,48.21681,-18.818197,48.100858
Madagascar,Merina_Centre,Quasi-direct control,Ambatondrazaka,,Provincial capital,Deschamps 192,-17.828716,48.426606,,
Madagascar,Merina_Centre,Quasi-direct control,Mahela,,Port,Campbell 166,-20.968738,48.441171,,
Madagascar,Merina_Centre,Quasi-direct control,Tsarahafatra,,European plantation  sponsored by king,Campbell 99,-21.217648,48.22993,,
Madagascar,Merina_Centre,Quasi-direct control,Mananary,,European plantation  sponsored by king,Campbell 100,-21.227134,48.349867,,
Madagascar,Merina_Centre,Quasi-direct control,Anosibe,,Governor here,Deschamps 192,-19.966667,48.383333,,
