Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madagascar,Merina_Nord,Effective control,Ambalanjanakomby,,Merina garrison on route to Majunga,Ballarin 170,-16.7,47.08333,
Madagascar,Merina_Nord,Effective control,Amparihibe,,Merina garrison on route to Majunga,Ballarin 170,-16.78333,46.91667,
Madagascar,Merina_Nord,Effective control,Ankaboka,,vassal,Malzac 207,-17.25,46.7,
Madagascar,Merina_Nord,Effective control,Ankoala,,Merina garrison on route to Majunga,Ballarin 170,-16.51667,46.96667,approximate based on map
Madagascar,Merina_Nord,Effective control,Anorontsangana,,Poste here,Deschamps 194,-13.915352,47.921869,
Madagascar,Merina_Nord,Effective control,Antagadrahoe,,Merina garrison on route to Majunga,Ballarin 170,-17.05937,47.12319,approximate based on map
Madagascar,Merina_Nord,Effective control,Baly,,Slave port,Campbell 229,-16.07336,45.276089,
Madagascar,Merina_Nord,Effective control,Bealanana,,Poste here,Deschamps 193,-14.545099,48.737201,
Madagascar,Merina_Nord,Effective control,Befandriana,,Poste here,Deschamps 193,-15.254202,48.5425,
Madagascar,Merina_Nord,Effective control,Bevato,,Garrison,Campbell 164,-16.417999,44.906409,??
Madagascar,Merina_Nord,Effective control,Boina,,gold fields exploited by crown,Campbell 105,-15.902913,45.929868,
Madagascar,Merina_Nord,Effective control,Bondrony,,Garrison,Campbell 164,-16.84324521,46.84280955,placed near lake of same name
Madagascar,Merina_Nord,Effective control,Maevatanana,,gold fields exploited by crown,Campbell 105,-16.946991,46.829153,
Madagascar,Merina_Nord,Effective control,Mahajanga,,Garrison,Campbell 164,-15.713935,46.315858,
Madagascar,Merina_Nord,Effective control,Marofototra,,conquered Sakalava province,Malzac 209,-16.07762,47.16801,
Madagascar,Merina_Nord,Effective control,Marovoay,,Garrison,Campbell 164,-16.10958,46.639424,
Madagascar,Merina_Nord,Effective control,Namehana,,Slave port,Campbell 229,-16.07336,45.276089,
Madagascar,Merina_Nord,Effective control,Trabonjy,,Merina garrison on route to Majunga,Ballarin 170,-16.44178,46.73089,approximate based on map
Madagascar,Merina_Nord,Effective control,Tsaratananan,,Poste here,Deschamps 191,-16.797769,47.650896,
Madagascar,Merina_Nord,Effective control,Tsiasomaoaniry,,Merina garrison on route to Majunga,Ballarin 170,-17.25,47.13333,approximate based on map
