Polity,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madagascar,Merina_Sud,Effective control,Vohipeno,,Principle port,Deschamp 208,-22.356907,47.840745,
Madagascar,Merina_Sud,Effective control,Ihosy,,poste here,Deschamps 196,-22.403794,46.127178,
Madagascar,Merina_Sud,Effective control,Midongy,,"Radama seizes, makes small garrison here",Malzac 191,-20.716667,46.216667,
Madagascar,Merina_Sud,Effective control,Ambatofinandrahana,,,,-20.55832837,46.80437389,
Madagascar,Merina_Sud,Quasi-direct control,Voatavo,,merina sub-district,Ralaikoa 201,-22.04358,46.38068,
Madagascar,Merina_Sud,Quasi-direct control,Ikalamavony,,subgovernor of Betiselo,Ralaikoa 50,-21.15,46.58333,
Madagascar,Merina_Sud,Quasi-direct control,Vinany,,merina sub-district,Ralaikoa 201,-21.71647,46.71168,
Madagascar,Merina_Sud,Quasi-direct control,Fihasinanan,,Betislao chief here; submits in early 1800s and retained as local chief,Malzac 122,-21.376839,46.74864,
Madagascar,Merina_Sud,Quasi-direct control,Lamosina,,merina sub-district,Ralaikoa 202,-21.61667,46.8,
Madagascar,Merina_Sud,Quasi-direct control,Mahazoarivo,,merina sub-district,Ralaikoa 182,-21.36667,46.81667,
Madagascar,Merina_Sud,Quasi-direct control,Ambohimalaza,,merina sub-district,Ralaikoa 190,-19.95,46.86667,
Madagascar,Merina_Sud,Quasi-direct control,Ambosary,,merina sub-district,Ralaikoa 198,-21.11667,46.88333,
Madagascar,Merina_Sud,Quasi-direct control,Fanjakana,,Capital of Isandra area,Malzac 125,-21.181354,46.889782,
Madagascar,Merina_Sud,Quasi-direct control,Andoharano,,merina sub-district,Ralaikoa 193,-21.65,46.9,
Madagascar,Merina_Sud,Quasi-direct control,Vohimarina,,merina sub-district,Ralaikoa 202,-21.63333,46.9,
Madagascar,Merina_Sud,Quasi-direct control,Vatofotsy,,merina sub-district,Ralaikoa 202,-21.78362,46.91214,
Madagascar,Merina_Sud,Quasi-direct control,Ambohimandroso,,subgovernor of Betiselo,Ralaikoa 50,-21.88333,46.95,
Madagascar,Merina_Sud,Quasi-direct control,Andoharanomaitso,,merina sub-district,Ralaikoa 191,-21.46667,46.95,
Madagascar,Merina_Sud,Quasi-direct control,Andranovorivato,,Merina adminsitrative seat in Betsileo,Ralaikoa 32,-21.63151985,46.98648427,
Madagascar,Merina_Sud,Quasi-direct control,Ambohitranakova,,merina sub-district,Ralaikoa 184,-20.44091,47.01198,
Madagascar,Merina_Sud,Quasi-direct control,Ambohitranakova,,merina sub-district,Ralaikoa 190,-20.44091,47.01198,
Madagascar,Merina_Sud,Quasi-direct control,Mahazony,,subgovernor of Betiselo,Ralaikoa 50,-21.98333,47.01667,
Madagascar,Merina_Sud,Quasi-direct control,Ambohinamborina,,subgovernor of Betiselo,Ralaikoa 50,-21.01769,47.01836,approximate
Madagascar,Merina_Sud,Quasi-direct control,Maneva,,merina sub-district,Ralaikoa 196,-21.59369,47.07451,
Madagascar,Merina_Sud,Quasi-direct control,Faikarana,,merina sub-district,Ralaikoa 188,-20.66704,47.08402,
Madagascar,Merina_Sud,Quasi-direct control,Fianarantsoa,,capital of Betisleo province; founded by queen in 1831,Kottak 48,-21.447807,47.088401,
Madagascar,Merina_Sud,Quasi-direct control,Volafotsy,,merina sub-district,Ralaikoa 204,-21.87595,47.1386,
Madagascar,Merina_Sud,Quasi-direct control,Ilalananindro,,merina sub-district,Ralaikoa 192,-21.44046,47.14374,
Madagascar,Merina_Sud,Quasi-direct control,Ambohimahasoa,,merina sub-district,Ralaikoa 185,-21.10495897,47.21254314,
Madagascar,Merina_Sud,Quasi-direct control,Ambohimahasoa,,subgovernor of Betiselo,Ralaikoa 50,-21.11667,47.21667,
Madagascar,Merina_Sud,Quasi-direct control,Vohitrafena,,merina sub-district,Ralaikoa 205,-21.66667,47.21667,
Madagascar,Merina_Sud,Quasi-direct control,Mahasoabe,,merina sub-district,Ralaikoa 194,-21.58985,47.21774,
Madagascar,Merina_Sud,Quasi-direct control,Itsangana,,merina sub-district,Ralaikoa 197,-21.33489,47.22798,
Madagascar,Merina_Sud,Quasi-direct control,Ambositra,,gold fields exploited by crown,Campbell 105,-20.529354,47.242485,
Madagascar,Merina_Sud,Quasi-direct control,Matahitrony,,merina sub-district,Ralaikoa 183,-20.89916,47.25192,approximate
Madagascar,Merina_Sud,Quasi-direct control,Vinanitelo,,merina sub-district,Ralaikoa 206,-21.71667,47.26667,
Madagascar,Merina_Sud,Quasi-direct control,Ambatosoa,,merina sub-district,Ralaikoa 198,-20.99,47.27407,
Madagascar,Merina_Sud,Quasi-direct control,Ambohimanana,,merina sub-district,Ralaikoa 186,-20.7,47.35,
Madagascar,Merina_Sud,Quasi-direct control,Ambohimanga,,Royal clan from here,Deschamps 175,-20.878298,47.592752,
Madagascar,Merina_Sud,Effective control,Fandanana,,foritifed Betsileo village,Malzac 121,-20.17217,47.39487,
