Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madagascar,Merina_Sud2,Effective control,Manja,,poste here,Deschamps 195,-21.434955,44.332511,
Madagascar,Merina_Sud2,Effective control,Mandabe,,poste here,Deschamps 195,-21.048872,44.93916,
Madagascar,Merina_Sud2,Effective control,Janjina,,Garrison,Campbell 164,-20.501012,45.826475,
Madagascar,Merina_Sud2,Effective control,Mahabo,,Garrison,Campbell 164,-20.380708,44.665426,
Madagascar,Merina_Sud2,Effective control,Malaimbandy,,Garrison,Campbell 164,-20.34626,45.596378,
Madagascar,Merina_Sud2,Effective control,Morondava,,key port,Deschamps 195,-20.291025,44.278811,
Madagascar,Merina_Sud2,Effective control,Maneva,,Garrison,Campbell 164,-20.283333,44.6,
Madagascar,Merina_Sud2,Effective control,Ankavandra,,Garrison,Campbell 164,-18.771736,45.293478,
Madagascar,Merina_Sud2,Effective control,Tsiroamandidy,,Garrison,Campbell 164,-18.769314,46.049316,??
Madagascar,Merina_Sud2,Effective control,Miandrivazo,,Poste here,Deschamps 194,-19.5281355,45.45850571,
Madagascar,Merina_Sud2,Effective control,Manandaza,,Post established in Menabe under Ranavalona,Malzac 253,-19.320667,45.412506,
Madagascar,Merina_Sud2,Effective control,Belo,,key port,Campbell 176,-20.74006,44.00812,
