Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,Notes
Madagascar,Merina_heartland,Merina Heartland,Betsiriry,,gold fields exploited by crown,Campbell 105,-18.95,46.483333,
Madagascar,Merina_heartland,Merina Heartland,lavomanitra,,Merina outpost,Crossland v. 2,-19.749569,46.558689,
Madagascar,Merina_heartland,Merina Heartland,Antanimena (Mahatsinjo),,Fortified frontier village,Crossland 318,-19.78296,46.593587,
Madagascar,Merina_heartland,Merina Heartland,Ambohimanambola,,Fortified frontier village,Crossland 318,-19.804883,46.611212,
Madagascar,Merina_heartland,Merina Heartland,Imerikanjaka,,Merina political center,Crossland 319,-19.776264,46.713627,
Madagascar,Merina_heartland,Merina Heartland,Antoby,,Crown labor recruiting center,Campbell 132,-19.559452,46.736558,
Madagascar,Merina_heartland,Merina Heartland,Miantsoarivo,,Crown labor recruiting center,Campbell 132,-19.180175,46.748956,
Madagascar,Merina_heartland,Merina Heartland,Ambohijafy,,Crown labor recruiting center,Campbell 132,-18.983999,46.771643,
Madagascar,Merina_heartland,Merina Heartland,Ambohimanga,,Crown labor recruiting center,Campbell 132,-19.220659,46.774079,
Madagascar,Merina_heartland,Merina Heartland,Betafo,,Political center of sixth district of Vakinankaratra,Crossland 311,-19.83333,46.85,
Madagascar,Merina_heartland,Merina Heartland,Manazary,,traditional capital of Imamo area,Malzac 89,-19.048249,46.868421,
Madagascar,Merina_heartland,Merina Heartland,Manandriana,,Crown labor recruiting center,Campbell 132,-18.81667,47.1,
Madagascar,Merina_heartland,Merina Heartland,Miakotso,,Palace built here by Andrianampoinimerina,Malzac 97,-18.527343,47.103494,
Madagascar,Merina_heartland,Merina Heartland,Ankazobe,,Poste here,Deschamps 191,-18.314397,47.11478,
Madagascar,Merina_heartland,Merina Heartland,Arivonimamo,,Crown labor recruiting center,Campbell 132,-19.005971,47.180204,
Madagascar,Merina_heartland,Merina Heartland,Ambohimasina,,Crown labor recruiting center,Campbell 132,-18.804846,47.228905,
Madagascar,Merina_heartland,Merina Heartland,Ambohiboanjo,,Fortified frontier village,Crossland 318,-18.8188,47.30842,
Madagascar,Merina_heartland,Merina Heartland,Ambohibeloma,,Chief here,Malzac 110,-18.497779,47.315997,
Madagascar,Merina_heartland,Merina Heartland,Imerintsiatosika,,Main town in heartland,Campbell 46,-18.980387,47.328546,
Madagascar,Merina_heartland,Merina Heartland,Fenoarivo,,Crown labor recruiting center,Campbell 132,-18.934405,47.43461,
Madagascar,Merina_heartland,Merina Heartland,Antsahadinta,,Crown labor recruiting center,Campbell 132,-19.01896,47.448108,
Madagascar,Merina_heartland,Merina Heartland,Mamiomby,,Palace built here by Andrianampoinimerina,Malzac 97,-18.7,47.45,
Madagascar,Merina_heartland,Merina Heartland,Androhibe,,Crown labor recruiting center,Campbell 132,-18.996422,47.466678,
Madagascar,Merina_heartland,Merina Heartland,Ambohidrapeto,,Main town in heartland,Campbell 46,-18.897054,47.480398,
Madagascar,Merina_heartland,Merina Heartland,Imerimandroso,,fortified village,Deschaps 121,-18.751736,47.51622,
Madagascar,Merina_heartland,Merina Heartland,Antananarivo,,political capital,,-18.933333,47.516667,
Madagascar,Merina_heartland,Merina Heartland,Isoraka,,industrial site during autarkicera,Cambpell 93,-18.9,47.516667,
Madagascar,Merina_heartland,Merina Heartland,Ambatomanga,,Chief here,Malzac 92,-19.7,47.533333,
Madagascar,Merina_heartland,Merina Heartland,Namehana,,Main town in heartland,Campbell 46,-18.828884,47.539986,
Madagascar,Merina_heartland,Merina Heartland,Tsiafahy,,,,-19.07019,47.55569,
Madagascar,Merina_heartland,Merina Heartland,Ambohimanga,,spiritual capital; many royal tombs here,,-18.759167,47.562778,
Madagascar,Merina_heartland,Merina Heartland,Tsarafara,,Merina political center in Cakinankaratra,Crossland 304,-18.83617,47.56358,
Madagascar,Merina_heartland,Merina Heartland,Ilafy,,Concilor here,Deschaps 121,-18.853363,47.565759,
Madagascar,Merina_heartland,Merina Heartland,Alasora,,Main town in heartland,Campbell 46,-18.955734,47.567387,
Madagascar,Merina_heartland,Merina Heartland,Ambohipeno,,Main town in heartland,Campbell 46,-18.923585,47.592445,
Madagascar,Merina_heartland,Merina Heartland,Ambohitrabiby,,Concilor here,Deschaps 121,-18.773873,47.607815,
Madagascar,Merina_heartland,Merina Heartland,Ambohimanambola,,Main town in heartland,Campbell 46,-18.949022,47.618689,
Madagascar,Merina_heartland,Merina Heartland,Vohilena,,Poste here early 1800s,Malzac 128,-18.18333,47.63333,
Madagascar,Merina_heartland,Merina Heartland,Vohitsara,,Poste here early 1800s,Malzac 128,-18.10995,47.668325,
Madagascar,Merina_heartland,Merina Heartland,Tsinjoarivo,,gold fields exploited by crown,Campbell 105,-19.633466,47.687003,
Madagascar,Merina_heartland,Merina Heartland,Ambohimahandry,,Crown labor recruiting center,Campbell 132,-18.9,47.8,
Madagascar,Merina_heartland,Merina Heartland,Mantasoa,,European plantation  sponsored by king,Campbell 100,-19.012938,47.834226,
Madagascar,Merina_heartland,Effective control,Maharidaza,,Merina garrison on route to Majunga,Ballarin 170,-18.26667,47.33333,
