Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Mindif,Bizili,,subprovince chief,"Mohammadou 1988, p. 75",10.212859,14.853556
Cameroon,Mindif,Djappay,,ardo here,"Mohammadou 1988, p. 94",10.434285,14.329299
Cameroon,Mindif,Doyang,,ardo here,"Mohammadou 1988, p. 58",10.29365,14.48902
Cameroon,Mindif,Gadjia,,ardo here,"Mohammadou 1988, p. 29",10.340353,14.696903
Cameroon,Mindif,Kaday,,prince here,"Mohammadou 1988, p. 81",10.562743,14.753191
Cameroon,Mindif,Kaya,,ardo here,"Mohammadou 1988, p. 29",10.438822,14.752235
Cameroon,Mindif,Kobo,,royal family here,"Mohammadou 1988, p. 97",10.327638,14.627374
Cameroon,Mindif,Kolara,,royal family here,"Mohammadou 1988, p. 96",10.267239,14.647025
Cameroon,Mindif,Matfay,,prince here,"Mohammadou 1988, p. 80",10.48006,14.392468
Cameroon,Mindif,Mindif,,ardo here; capital,"Mohammadou 1988, p. 26",10.397568,14.436257
Cameroon,Mindif,Mogom,,prince here,"Mohammadou 1988, p. 80",10.514695,14.425395
Cameroon,Mindif,Moulvouday,,royal family here,"Mohammadou 1988, p. 105",10.405882,14.853854
Cameroon,Mindif,Touloum,,subprovince chief,"Mohammadou 1988, p. 75",10.179711,14.835499
Cameroon,Mindif,Zouay,,subprovince chief,"Mohammadou 1988, p. 75",10.015984,15.030123
