Country,Polity,SubKingdom,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Tanzania,Mirambo,,Tabora,also called Kazeh,near Unya nyembe cpaital whree arab traders were settled,,-5.030816,32.820091
Tanzania,Mirambo,,Urambo,,Mirambo's former capital,Roberts 140,-5.066667,32.05
Tanzania,Mirambo,,Ipuli,,Village of Sikie's son Mgonula,Roberts 141,-4.75,33.3
Tanzania,Mirambo,,Isela Magazi,,Mirambo's former capital,Koponen 350,-4.664997,32.122652
Tanzania,Mirambo,,Uyowa,,Mirambo chief here first,Unomah 16,-4.535219,32.000831
Tanzania,Mirambo,,Ulyankhula,,Second chiefdom Mirambo conquers,Unomah 16,-4.75,32.316667
Tanzania,Mirambo,,Ikonongo,,New village of Mirambo in late 1870s,Bennett 101,-4.484813,32.052838
Tanzania,Mirambo,,Usongo,,One of most prominent subordinates here,Bennett 132,-4.3,33.4
Tanzania,Mirambo,,Uyui,,Nyamezi chief loyal to Mirambo here,Bennette42,-4.916667,32.833333
Tanzania,Mirambo,,Itetemya,,Unyanyembe king here,Kabeya 28,-5.071458,32.791213
Tanzania,Mirambo,,Magengati,,Chiefdom conquered by Mirambo,Kabeya 43,-4.8,33.1
Tanzania,Mirambo,,Puge,,Chiefdom conquered by Mirambo,Kabeya 43,-4.75,33.116667
Tanzania,Mirambo,,Ndala,,Chiefdom conquered by Mirambo,Kabeya 43,-4.766667,33.266667
Tanzania,Mirambo,,Usagali,Usagari,Early chief subsumed by Mirambo,Fouquer 40,-4.883333,32.483333
Tanzania,Mirambo,,Igombe,,,,-5.6,32.88333
