Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Cameroon,Miskine,Djappay,,royal family here,"Mohammadou 1988, p. 116",10.434285,14.329299
Cameroon,Miskine,Gawel,,royal family here,"Mohammadou 1988, p. 116",10.416521,14.097161
Cameroon,Miskine,Golom,,fort here,"Mohammadou 1988, p. 112",10.222783,14.112178
Cameroon,Miskine,Katoual,,ardo's brother installed here,"Mohammadou 1988, p. 112",10.528294,14.219573
Cameroon,Miskine,Makabay,,ardo's brother installed here,"Mohammadou 1988, p. 112",10.570122,14.309959
Cameroon,Miskine,Mbozo,,conquered early on,"Mohammadou 1988, p. 113",10.672734,14.153432
Cameroon,Miskine,Miskine,,capital,"Mohammadou 1988, p. 112",10.548737,14.246944
Cameroon,Miskine,Ngoyang,,early Fulani installation,"Mohammadou 1988, p. 111",10.529617,14.243223
Cameroon,Miskine,Salak,,ardo's brother installed here,"Mohammadou 1988, p. 112",10.459347,14.252512
Cameroon,Miskine,Zongoya,,royal family here,"Mohammadou 1988, p. 116",10.475862,14.140225
