Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
CAR,Ngaoundere,Baboua,,,"Mohammadou 1978, 438",5.795648,14.827991
Cameroon,Ngaoundere,Bagodo,,,"Mohammadou 1978, 438",6.416667,13.383333
Cameroon,Ngaoundere,Beka,,,"Mohammadou 1978, 438",7.3,13.55
Cameroon,Ngaoundere,Belel,,,"Mohammadou 1978, 438",7.05,14.433333
Cameroon,Ngaoundere,Dibi,,,"Mohammadou 1978, 438",7.133333,13.716667
Cameroon,Ngaoundere,Djohong,,,"Mohammadou 1978, 438",6.833333,14.7
Cameroon,Ngaoundere,Gaga,,,"Mohammadou 1978, 438",6.15,13.866667
Cameroon,Ngaoundere,Gamba,,,"Mohammadou 1978, 438",7.95,13.583333
Cameroon,Ngaoundere,Garoua-Boulaey,,,"Mohammadou 1978, 438",5.883333,14.55
CAR,Ngaoundere,Gaza,,,"Mohammadou 1978, 438",6.35,14.333333
Cameroon,Ngaoundere,Guidjiba,,,"Mohammadou 1978, 437",8.476276,13.734254
Cameroon,Ngaoundere,Kalhaldi,,,"Mohammadou 1978, 438",6.5,14.066667
Cameroon,Ngaoundere,Koubadji,,,"Mohammadou 1978, 437",7.466667,13.966667
CAR,Ngaoundere,Koundey,,,"Mohammadou 1978, 438",6.110493,14.637761
Cameroon,Ngaoundere,Martap,,,"Mohammadou 1978, 438",6.9,13.05
Cameroon,Ngaoundere,Mayganga,,,"Mohammadou 1978, 438",6.516667,14.3
Cameroon,Ngaoundere,Mayo-Bantadje,,,"Mohammadou 1978, 438",6.866667,14.4
Cameroon,Ngaoundere,Mbé,,,"Mohammadou 1978, 438",7.85,13.6
Cameroon,Ngaoundere,Mboussa,,,"Mohammadou 1978, 438",6.1,14.366667
Cameroon,Ngaoundere,Ngang-Ha,,,"Mohammadou 1978, 438",7.433333,13.933333
Cameroon,Ngaoundere,Ngaoundere,,,"Mohammadou 1978, 438",7.316667,13.583333
Cameroon,Ngaoundere,Nigba,,,"Mohammadou 1978, 437",8.127463,13.575207
Cameroon,Ngaoundere,Nyambaka,,,"Mohammadou 1978, 438",6.883333,14.1
Cameroon,Ngaoundere,Sakdje,,,"Mohammadou 1978, 438",8.26607,13.653414
Cameroon,Ngaoundere,Sassa-Mbersi,,,"Mohammadou 1978, 438",7.733333,13.766667
Cameroon,Ngaoundere,Tekel,,,"Mohammadou 1978, 438",6.783333,13.166667
Cameroon,Ngaoundere,Wak,,,"Mohammadou 1978, 438",7.7,13.55
Cameroon,Ngaoundere,Yarmbang,,,"Mohammadou 1978, 438",7.016667,14.966667
