Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
CAR,Ngaoundere2,Gamboula,,,,4.11775,15.13926
CAR,Ngaoundere2,Berebeti,,,"Mohammadou 1978, 438",4.26116,15.79216
Cameroon,Ngaoundere2,Batouri,,conquered in 1800s,Mohammadou 1978 288,4.43333,14.36667
Cameroon,Ngaoundere2,Bertoua,,fort here,Mohammadou 1978 288,4.57728,13.68459
CAR,Ngaoundere2,Gaza,,,"Mohammadou 1978, 438",4.77288,15.20181
Cameroon,Ngaoundere2,Belabo,,,,4.93333,13.3
CAR,Ngaoundere2,Carnot,Mbele,,"Mohammadou 1978, 438",4.94273,15.87735
Cameroon,Ngaoundere2,Deng-Deng,,,,5.2,13.51667
CAR,Ngaoundere2,Bossembele,,,,5.267417807,17.63763512
CAR,Ngaoundere2,Yaloke,,,,5.319433351,17.10224512
Cameroon,Ngaoundere2,Bertare Oya,,,,5.6,14.08333
CAR,Ngaoundere2,Mbarta,Bouar,base for eastward expansion in late 1800s,Mohammadou 1987 304,5.93404,15.59599
Cameroon,Ngaoundere2,Bozoum,,,,6.31933,16.37992
CAR,Ngaoundere2,Bossangoa,,base for eastward expansion in late 1800s,Mohammadou 1987 304,6.500758474,17.44558085
CAR,Ngaoundere2,Bocaranga,,,"Mohammadou 1978, 438",6.98533,15.64062
CAR,Ngaoundere2,Pawa,,,"Mohammadou 1978, 438",7.241512665,16.43355229
