Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Gambia,Niani,Sami,,,Bellin Map 1764,13.533333,-14.466667
Gambia,Niani,Tatakunda,Tandikunda??,,Bellin Map 1764,13.533333,-14.55
Senegal,Niani,Maka Cisse,,,,13.55,-14.3
Gambia,Niani,Morakunda,,,Bellin Map 1764,13.55,-14.066667
Senegal,Niani,Pakkaboc,Pakeba,,Bellin Map 1764,13.55,-14.36667
Senegal,Niani,Koussalan,,,,13.6,-14.46667
Gambia,Niani,Kuntaur,,,"Galloway 1975, map",13.666667,-14.883333
Gambia,Niani,Kataba,,,"Galloway 1975, map",13.683333,-14.816667
Gambia,Niani,Nianimara,,,"Skinner 2017, 2",13.7,-15
Gambia,Niani,Nianibantang,,,"Skinner 2017, 2",13.783333,-15.016667
