Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Uganda,Nkore,Kagabagaba,,,Karugire 275,-0.95233,30.56633
Uganda,Nkore,Kagugu,,Capital,Karugire 275,-0.950775,30.166871
Uganda,Nkore,Magabi,,,Karugire 275,-0.898511,31.266831
Uganda,Nkore,Rugaaga,,,Karugire 275,-0.883333,30.866667
Uganda,Nkore,Rumira,,,Karugire 275,-0.878884,30.685499
Uganda,Nkore,Bungura,,Capital,Karugire 275,-0.834539,30.751449
Uganda,Nkore,Ekitooma,,,Karugire 275,-0.818869,31.032874
Uganda,Nkore,Ndaija,Kagamba,,Karugire 275,-0.815757,30.162536
Uganda,Nkore,Kabaigarire,,royal burial ground ,Karugire 86,-0.792579,30.858675
Uganda,Nkore,Itaba,Bugamba,"village where the Nkore inherited a royal drum, the connecting link between Nkore and the Bachwezi empire (now in Rwampara County)",Krindi 12,-0.733672,30.514651
Uganda,Nkore,Biharwe,,"capital of Rugumba, date unknown",Karugire 194,-0.733076,30.698744
Uganda,Nkore,Birere,,one of the capitals of Bagyendanwa-Rusya; Royal drum kept here,Karugire 99,-0.728843,30.73228
Uganda,Nkore,Rusya,,one of the capitals of Bagyendanwa-Rusya ,Karugire 99,-0.716667,30.7
Uganda,Nkore,Nyamitsindo,Ruizi,,Karugire 275,-0.649167,30.808889
Uganda,Nkore,Mitooma (Mitoma),,Nkuba moved his capital here ,Karugire 143,-0.616293,30.047082
Uganda,Nkore,Mbarara,,city that became the royal headquarters right before the British announced their protectorate and remained the capital under the British ,Piroulet,-0.604484,30.663737
Uganda,Nkore,Rushozi,,city where attacks from Buganda were held off ,Karugire 208,-0.475857,30.725465
Uganda,Nkore,Nyakakoni,,,Karugire 275,-0.4501,30.7171
Uganda,Nkore,Rwatsinga,,,Karugire 275,-0.45,30.666667
Uganda,Nkore,Rubaya,,,Karugire 275,-0.441833,30.675743
Uganda,Nkore,Kyazanga,,,Karugire 275,-0.392832,31.350799
Uganda,Nkore,Mutonto,,,Karugire 275,-0.38324,30.65177
Uganda,Nkore,Bwarumuri,,,Karugire 275,-0.349133,30.833577
Uganda,Nkore,Mabaare,,Capital,Karugire 275,-0.348618,31.031718
Uganda,Nkore,Kabura,,"village that Bunyoro attempted to take over, but failed ",Karugire 194,-0.344404,31.148508
Uganda,Nkore,Katoma,,,Karugire 275,-0.333284,31.482189
Uganda,Nkore,Kaboyo,,village at the eastern limit of Nkore ,Karugire 234,-0.333168,31.509271
Uganda,Nkore,Kasaana (Kasana),,one of the capitals of Bagyendanwa-Rusya ,Karugire 99,-0.308056,31.614167
Uganda,Nkore,Keigoshora,Kahihi,,Karugire 275,-0.299356,30.594063
Uganda,Nkore,Omunkote,,,Karugire 275,-0.270549,31.146626
Uganda,Nkore,Byanamira,,,Karugire 275,-0.252569,30.698824
Uganda,Nkore,Mugore (Mugoye),,village where a famous battle for succession occurred between brothers ,Krindi 13,-0.089632,30.911213
Uganda,Nkore,Kakukuru,,Capital established by Nyabugaro,Karugire 149,0.13083,30.78354
